tradingsymbol,instrument_token,avg_volume
FAIRCHEMOR,413185,7576
TATAINVEST,414977,95596
IOC,415745,8085170
LINDEINDIA,416513,18079
BECTORFOOD,416769,106810
IONEXCHANG,417281,128185
IPCALAB,418049,210747
ITC,424961,12631184
SUNDROP,425729,13811
HGINFRA,428033,73051
ITI,428801,973395
IVP,430337,8606
JAYSREETEA,440321,39481
JBCHEPHARM,441857,192154
JINDALPOLY,449537,221275
KANPRPLA,456193,11025
AWHCL,460033,64035
JYOTISTRUC,461313,6860529
KABRAEXTRU,462081,22061
KAJARIACER,462849,195060
KAKATCEM,463617,3046
KPIL,464385,188679
KAMATHOTEL,467457,132095
KANORICHEM,469761,13512
KARURVYSYA,470529,1926256
KCP,471297,158117
KESORAMIND,475905,697719
CARYSIL,481025,170381
CUMMINSIND,486657,484899
KOPRAN,491265,149401
KOTAKBANK,492033,3079516
WEALTH,492289,5515
KREBSBIO,495873,6260
KSB,498945,74659
TRENT,502785,944745
LMW,506625,3580
LIBERTSHOE,510465,14889
LICHSGFIN,511233,1216160
AHLADA,513025,15563
LUMAXIND,516609,24248
LYKALABS,519169,21798
IRFC,519425,7159451
M&M,519937,2162146
RAMCOCEM,523009,266351
INDIGOPNTS,524289,41848
CHENNPETRO,524545,1271429
HOMEFIRST,526337,252521
VTL,530689,666039
MAHSCOOTER,533761,7066
MAHSEAMLES,534529,175652
MANGLMCEM,539137,61311
STOVEKRAFT,539393,146290
MARALOVER,540673,30230
MASTEK,543745,126548
MFSL,548353,553837
BDL,548865,1346279
RAJMET,555009,361783
AKG,557057,39993
BOSCHLTD,558337,23214
SUNDARMHLD,558849,242104
GENCON,560129,66865
MODIRUBBER,570625,1519
MODTHREAD,573697,3565
PENINLAND,577537,981105
MOREPENLAB,578305,1530816
BANDHANBNK,579329,4769818
MOTOGENFIN,580609,27758
MRF,582913,6290
MRPL,584449,3507707
HLEGLAS,585985,570986
MTNL,587265,1279843
HAL,589569,937914
BESTAGRO,590337,32100
MUNJALSHOW,590593,55218
MURUDCERA,592129,44743
HEIDELBERG,592897,146489
NCC,593665,3039014
SMCGLOBAL,593921,76429
JAYNECOIND,596737,9099089
NURECA,601601,0
NAVNETEDUL,610561,275626
NELCO,611329,78339
SANDHAR,613633,95506
NEULANDLAB,615937,60211
PEL,617473,0
NILKAMAL,619777,3900
RAILTEL,622337,860398
CONSUMBEES,623361,150289
NKIND,624385,2127
NOCIL,625153,313480
CENTRUM,628225,280107
MIDHANI,630529,358051
OILCOUNTUB,632833,29181
ONGC,633601,8012362
ORIENTHOT,638209,232881
ORIENTPPR,638977,306328
BCLIND,643329,451357
OSWALAGRO,643585,110603
PGHH,648961,8321
HUHTAMAKI,655873,203931
AMJLAND,665089,32263
LEMONTREE,667137,2225278
PEARLPOLY,668161,20536
HERANBA,669185,37301
SEAMECLTD,669697,47100
IT,672513,237278
DIVOPPBEES,674817,83063
PFIZER,676609,30987
DRCSYSTEMS,677121,99199
PCBL,678145,610588
PIDILITIND,681985,306844
POLYPLEX,687873,40635
PRAJIND,692481,747665
PRAKASH,693249,671508
MTARTECH,693505,226400
BUTTERFLY,695297,19357
PRECWIRE,695553,149019
PRSMJOHNSN,701185,437977
JUBLINGREA,712449,250507
EASEMYTRIP,714753,11749350
RSWM,715265,35569
CHEMFAB,716545,10239
RAJSREESUG,719105,46854
ARVEE,720385,699
RALLIS,720897,818631
ANURAS,724225,215794
RANASUG,726273,153934
LXCHEM,727297,391237
RANEHOLDIN,728065,12886
CRAFTSMAN,730625,50476
RAYMOND,731905,210069
