tradingsymbol,instrument_token,avg_volume
INDOCO,2989313,106705
SUPRAJIT,2992385,78201
PATELENG,2994945,1632768
ALKEM,2995969,148062
XCHANGING,2996481,94995
JSWSTEEL,3001089,1476025
CONSOFINVT,3003137,5104
JINDALPHOT,3006209,14503
JPPOWER,3011329,22803152
GOKEX,3015169,603322
ACEINTEG,3015425,7986
EVEREADY,3016193,220208
GOYALALUM,3017473,76255
SAKSOFT,3019265,268882
HPIL,3019777,8772
ALLDIGI,3020289,9024
SUKHJITS,3021825,7076
IIFL,3023105,1338338
SHOPERSTOP,3024129,45875
MANGALAM,3025153,23533
WELCORP,3026177,490968
SSWL,3028225,198111
NH,3031041,304098
SURYALAXMI,3034113,7551
SHAHALLOYS,3035137,27761
JKPAPER,3036161,484396
PRIMESECU,3037185,66034
GRANULES,3039233,1003560
JSWHL,3041281,1312
MANINDS,3042305,467342
VHL,3044353,0
DCXINDIA,3045121,643343
GEOJITFSL,3045377,394942
GENUSPOWER,3047681,892386
SWELECTES,3048705,41229
YESBANK,3050241,77922306
MSPL,3051265,871602
FUSION,3054593,327101
SPLIL,3055361,13646
MCLEODRUSS,3057409,0
MEDANTA,3060737,292034
BIKAJI,3063297,185962
GOLDIAM,3064577,465351
RML,3065601,10543
SASKEN,3067649,16453
ICIL,3068673,436897
SYNCOMF,3069953,733798
FCSSOFT,3071745,1949791
FAZE3Q,3072001,101043
IMPAL,3074305,2186
AEROENTER,3075841,184387
SUZLON,3076609,63941907
AURIONPRO,3077633,147175
ACI,3078145,138730
RENUKA,3078657,3109664
FIVESTAR,3080193,1026452
BASML,3080705,130515
SCPL,3090433,12114
KAYNES,3095553,478709
HDFCNIFIT,3097857,77668
HDFCPVTBAN,3099649,61916
DOLATALGO,3103745,250022
BBTCL,3111169,8493
HNDFDS,3116289,45798
INOXGREEN,3120129,727315
RUSTOMJEE,3128065,36309
ZIMLAB,3170305,143694
SWSOLAR,3197185,1848850
VINNY,3197441,400569
AAATECH,3208449,0
FINIETF,3219969,298116
PRECAM,3226369,226285
MBAPL,3247617,177663
TEAMLEASE,3255297,19231
DJML,3263745,14728
HYBRIDFIN,3279105,0
KRISHANA,3288833,194394
SARVESHWAR,3305729,6432714
NPBET,3322369,863
DHARMAJ,3328257,35345
SAFARI,3336961,37679
UNIPARTS,3342593,116282
IIFLCAPS,3346433,457126
TRIVENI,3348737,242351
AIAENG,3350017,55101
EKC,3351297,349586
VIMTALABS,3353857,451845
ORIENTCER,3356417,69766
QUICKHEAL,3357697,295803
KERNEX,3358977,64184
REPRO,3360257,7045
EBBETF0433,3363585,3615
GSEC10IETF,3364609,1445
PVRINOX,3365633,357258
CELEBRITY,3369473,33642
NITINSPIN,3372801,74495
ROHLTD,3374593,71448
ENIL,3377153,19217
GSPL,3378433,452360
COMMOIETF,3378689,80595
JAGRAN,3382017,122514
SULA,3383809,351087
SADBHAV,3388417,265543
SAKUMA,3392257,1149454
KEC,3394561,709335
JKCEMENT,3397121,112177
INDOTECH,3398401,21646
LANDMARK,3398657,89323
M&MFIN,3400961,2301682
AFSL,3401729,26190
BLKASHYAP,3402241,350412
NITCO,3404801,237420
CENTURYPLY,3406081,93315
KEI,3407361,244649
SOLARINDS,3412993,115953
GALLANTT,3414273,468567
VAKRANGEE,3415553,1975552
MALUPAPER,3418113,16746
KFINTECH,3419905,956329
UTTAMSUGAR,3424257,36125
KKCL,3425537,32297
BHAGERIA,3430401,60321
SUNTV,3431425,266915
GPIL,3432705,2775803
RSYSTEMS,3433985,83985
EMKAY,3435777,0
ELIN,3436289,121478
KELLTONTEC,3438081,4705315
LOKESHMACH,3439617,47476
BALPHARMA,3440897,15220
RATNAMANI,3443457,21058
KAMDHENU,3444993,902970
PIONEEREMB,3446529,20296
JKLAKSHMI,3453697,137021
PFOCUS,3454977,2673454
ALLCARGO,3456257,0
AKASH,3458561,11502
MUNJALAU,3458817,417726
EMAMILTD,3460353,517715
NECCLTD,3461633,71863
GMRAIRPORT,3463169,10903002
VIDHIING,3465217,14260
TECHM,3465729,1539502
AVONMORE,3470593,241055
GRINDWELL,3471361,54083
RAMANEWS,3472641,38667
VOLTAMP,3475713,49173
RADIANTCMS,3476481,122270
ATLANTAA,3477761,0
ACE,3478273,148021
SELAN,3481089,26980
IRCTC,3484417,683010
ANANTRAJ,3486721,2702027
BILVYAPAR,3488001,8490
SKYGOLD,3489537,1242468
JMFINANCIL,3491073,4025332
ELECON,3492609,442442
BANKETFADD,3492865,22953
TALBROAUTO,3493889,125025
ALICON,3495937,8438
GEECEE,3496449,4763
MADHUCON,3499777,31518
NRL,3500801,45542
ACLGATI,3504129,0
AERONEU,3504385,13474
VISHWARAJ,3507713,287620
FIEMIND,3509761,86672
JHS,3512321,151715
DCBBANK,3513601,1414703
GLOBALVECT,3516161,20370
SHYAMTEL,3517441,2628
GTLINFRA,3518721,31086183
FLUOROCHEM,3520001,85270
NAUKRI,3520257,1016829
MANOMAY,3520769,5863
SHIVAMAUTO,3521537,92055
BBL,3522817,33071
GESHIP,3526657,258050
TORNTPOWER,3529217,521129
BAIDFIN,3531265,86060
MANALIPETC,3531777,676238
SUTLEJTEX,3533057,43323
GREENPANEL,3535361,628536
KAMOPAINTS,3536385,546518
LTFOODS,3536897,674050
RUCHIRA,3538177,80196
SOBHA,3539457,162391
DONEAR,3542785,39365
MMFL,3544065,40619
VENUSREM,3547905,15289
AARTIPHARM,3550209,181807
KUANTUM,3550721,42766
JINDRILL,3552001,80802
BANCOINDIA,3553281,989358
HIRECT,3555841,35564
CREST,3558401,6290
PLASTIBLEN,3563521,9311
NFL,3564801,701455
LIQUID1,3571201,397506
PARACABLES,3571457,677902
HBLENGINE,3575297,3436716
TANLA,3577857,565957
JASH,3579393,79990
ABSLBANETF,3580673,86522
ZEEMEDIA,3584769,1930103
AVTNPL,3586049,216523
LUMAXTECH,3587585,186365
VEEDOL,3588865,13019
SARLAPOLY,3595009,90322
SANGHVIMOV,3598849,402575
WANBURY,3600129,85966
SAGCEM,3601409,129576
IGPL,3606017,23799
SIYSIL,3608577,74727
PTL,3609857,43871
AUTOIND,3611137,71173
NETWORK18,3612417,2981622
GANDHITUBE,3613697,23419
PITTIENG,3618305,36468
SBGLP,3619585,33371
BTML,3622401,257085
UNOMINDA,3623425,889666
NSLNISP,3630081,6165809
NINSYS,3633665,3101
TIMKEN,3634689,64677
HUBTOWN,3635969,566776
CTE,3639809,9132
TIIL,3641089,12332
HDFCBSE500,3642881,25766
HDFCSML250,3643649,924740
HDFCMID150,3644417,260445
TVSSRICHAK,3646721,6584
REDINGTON,3649281,6066891
PGIL,3650561,123993
ORIENTBELL,3655169,8947
SEQUENT,3659777,602716
PFC,3660545,4669261
FSL,3661825,1085680
INDIANB,3663105,1382555
TFL,3665665,15973
SMSPHARMA,3668225,511619
HSCL,3669505,996126
GANESHHOU,3670785,49731
ORIENTALTL,3672577,310433
APOLLOPIPE,3676417,64020
IDEA,3677697,617517788
POCL,3682561,590153
AMDIND,3685889,46326
RAJTV,3687169,4195
PAGEIND,3689729,20798
ASTRAL,3691009,730776
LAOPALA,3692289,43622
GOLDBEES,3693569,16887903
JKTYRE,3695361,597055
NAHARSPING,3696641,16717
NAHARPOLY,3697921,12391
EMBDL,3699201,4231127
LEXUS,3701505,0
DIVGIITTS,3706625,10128
GOKULAGRO,3706881,390854
THEMISMED,3708161,338604
NCLIND,3709441,90108
BALAMINES,3712257,35051
BANSWRAS,3714817,23318
ABSLLIQUID,3716609,2553
ICRA,3717889,4286
DISHTV,3721473,2668695
PHOENIXLTD,3725313,564418
AROGRANITE,3726593,39019
ZENITHSTL,3727873,0
BFUTILITIE,3729153,0
SRHHYPOLTD,3732993,9419
PSUBNKIETF,3733505,136507
FORTIS,3735553,1941682
ALPHAGEO,3736833,13918
GSLSU,3737345,106554
WEBELSOLAR,3738113,221476
TGBHOTELS,3739393,28558
CHEMBOND,3742209,13621
HILTON,3744513,55160
INSECTICID,3752193,22445
KMSUGAR,3754753,115739
NAVINFLUOR,3756033,110167
GOACARBON,3759873,19281
NAGREEKEXP,3763713,26293
TIMETECHNO,3764993,1137805
HGS,3766273,15647
DLF,3771393,2250953
AXSENSEX,3773953,1186
ADVANIHOTR,3774721,34296
NELCAST,3778817,155402
V2RETAIL,3780097,86322
TARMAT,3781377,25242
LOWVOL,3785217,1251
SPARC,3785729,231286
MEGASOFT,3787009,0
ADSL,3792129,297337
WSI,3795969,113451
DECCANCE,3798529,58950
VIPCLOTHNG,3799809,187107
ALPA,3801089,16530
OMAXE,3802369,196439
USK,3806977,66595
CENTRALBK,3812865,4661767
SAHYADRI,3814401,4085
KDDL,3816449,11215
KPRMILL,3817473,301707
TAKE,3818753,0
PURVA,3820033,154925
LAL,3820545,26678
CIEINDIA,3823873,134373
GSEC10YEAR,3824129,18283
NAGREEKCAP,3825153,0
MOTILALOFS,3826433,974611
INDOWIND,3827713,165024
MAGNUM,3828993,50319
CSBBANK,3831297,529234
KSCL,3832833,78038
POWERGRID,3834113,10022062
CENTUM,3835393,31852
CCCL,3837953,0
MANGCHEFER,3841793,0
PSUBNKBEES,3848193,1882845
BAJAJELEC,3848705,81211
CERA,3849985,14665
DELTACORP,3851265,1033676
AVALON,3854849,370788
PSUBANK,3855617,39565
BLAL,3857153,27645
RELIGARE,3857409,1257913
ADANIPORTS,3861249,1795538
EDELWEISS,3870465,5781187
KOLTEPATIL,3871745,64433
RGL,3873025,414133
COLPAL,3876097,463640
JYOTHYLAB,3877377,261006
MADHAV,3878657,8746
KALYANIFRG,3879937,1715
RHL,3880193,5581
HITECHCORP,3881217,10788
TARIL,3884545,1011859
ECLERX,3885825,164083
KIRLPNU,3886081,71032
BRIGADE,3887105,391315
MANAKSIA,3890945,36159
ARIES,3892225,60675
DVL,3894785,27452
PATINTLOG,3896065,85659
UJJIVANSFB,3898369,7779247
LICNFNHGP,3898625,943
AMBIKCO,3899905,6116
BIRLAMONEY,3901185,72374
CEATLTD,3905025,140723
RPOWER,3906305,15282667
JKIL,3908097,99926
CORDSCABLE,3909377,27408
ONMOBILE,3911169,607800
KNRCON,3912449,990734
HERCULES,3913729,17279
VIRINCHI,3915521,0
BANG,3917569,13143
SEPC,3918849,4631126
IRB,3920129,9576824
NMDC,3924993,18875578
RAIN,3926273,1193497
SHALPAINTS,3927553,154705
GSS,3928833,73364
RECLTD,3930881,5545209
VGUARD,3932673,269246
PDMJEPAPER,3936513,109829
MANKIND,3937281,411850
DHANI,3938305,0
RACE,3940097,12568
EIHAHOTELS,3942145,18675
ATAM,3943425,26301
NESCO,3944705,95072
TITAGARH,3945985,871297
DPSCLTD,3947265,117522
HCG,3982081,262383
AVG,3990785,21402
LATTEYS,4055041,0
HINDWAREAP,4066049,196395
PRINCEPIPE,4107521,110611
BHARATWIRE,4127489,184079
PAVNAIND,4145153,253325
INFIBEAM,4159745,8126318
EBBETF0430,4160769,15357
PANACHE,4170753,0
MMP,4197121,21731
VAISHALI,4246785,390895
KIRIINDUS,4259585,259710
ANIKINDS,4264193,24774
SIGMA,4264449,0
BAJAJFINSV,4268801,1070291
PTCIL,4270593,17651
GHCLTEXTIL,4274177,96783
GOKUL,4276481,20371
UBL,4278529,146795
ALMONDZ,4280065,172604
RPGLIFE,4281601,15288
GVT&D,4296449,493562
ARCHIDPLY,4299521,15785
QNIFTY,4305665,431
VINYLINDIA,4306177,10618
IKIO,4306433,54495
KOKUYOCMLN,4307713,44367
SINDHUTRAD,4315905,1373273
LPDC,4316929,26809
DPWIRES,4326401,19426
TOUCHWOOD,4328449,15352
ARTEMISMED,4329729,132943
ZFCVINDIA,4330241,10313
JOCIL,4333313,2252
INDBANK,4334849,49369
ASHOKAMET,4337409,24874
ALKALI,4341505,17333
COUNCODOS,4348417,69189
TPHQ,4350977,1607684
MAWANASUG,4357633,33461
PATANJALI,4359425,1086568
THYROCARE,4360193,180014
SHARIABEES,4363265,10877
HMAAGRO,4365569,248814
PALREDTEC,4367873,0
URAVIDEF,4370177,5319
CROMPTON,4376065,2020549
SUMICHEM,4378881,329755
PARAGMILK,4385281,1378324
IDEAFORGE,4387841,446613
AARTECH,4389121,45906
MIDCAPIETF,4390913,764476
NEXT50,4398337,15665
SHRIPISTON,4399617,45590
CYIENTDLM,4399873,177865
PAKKA,4402433,119319
ITETFADD,4404993,49485
ALBERTDAVD,4417537,3236
ARMANFIN,4419329,26521
ASPINWALL,4421121,3254
SENCO,4421377,650966
BLS,4423425,1762530
NAGAFERT,4427521,335367
AJMERA,4430593,75439
LLOYDSME,4432129,289585
MHRIL,4437249,77778
SALONA,4441857,1262
GKWLIMITED,4443393,1524
UTKARSHBNK,4443649,1434809
VINATIORGA,4445185,48519
ADANIPOWER,4451329,4874342
SETF10GILT,4453121,19183
PREMEXPLN,4453633,1068042
NHPC,4454401,10796990
BANKETF,4459265,3816
GLOBUSSPR,4460545,166964
NETWEB,4462849,2010892
OIL,4464129,1817949
NV20IETF,4473601,464757
CONTROLPR,4474113,31369
EXPLEOSOL,4476417,17810
INCREDIBLE,4481793,9187
SETCO,4483585,75428
RTNPOWER,4485121,13501233
MAHASTEEL,4486913,0
MGL,4488705,257748
DAMODARIND,4490497,6571
AMRUTANJAN,4492033,17081
LIQUID,4498433,142486
PVTBANKADD,4499457,20659
ASALCBR,4505089,33621
MAHEPC,4506369,44348
SENSEXADD,4508929,5797
PSUBANKADD,4509697,196507
MOLDTECH,4512001,80898
ZYDUSWELL,4514561,256786
SUNTECK,4516097,335174
POKARNA,4518657,125982
ALOKINDS,4524801,4052206
GPTINFRA,4527361,303928
LTGILTBEES,4531201,2262105
MIDSELIETF,4531713,182526
QUESS,4532225,270423
DEN,4536833,383716
ASTEC,4538369,43744
YATHARTH,4540929,544896
NIITMTS,4543233,138375
SHILPAMED,4544513,60022
SARDAEN,4546049,665827
REFEX,4547585,286091
GROBTEA,4549121,136
ATL,4551169,191485
SOMICONVEY,4555265,11729
TREL,4555521,98442
LLOYDSENGG,4557057,2129055
QUAL30IETF,4558849,114443
LTIM,4561409,228192
AHLUCONT,4565249,46852
GILLANDERS,4566785,14096
DLINKINDIA,4569857,78268
REDTAPE,4571905,436953
JSWENERGY,4574465,2060238
GODREJPROP,4576001,561566
DBCORP,4577537,89750
GATECH,4579329,14321606
ABBOTINDIA,4583169,7729
GEEKAYWIRE,4588033,88467
BAYERCROP,4589313,27635
BEARDSELL,4590849,68572
HINDCOPPER,4592385,5504832
COHANCE,4593921,832000
MMTC,4596993,898992
NESTLEIND,4598529,1276118
SBICARD,4600577,957737
TRF,4604673,30968
UNITEDTEA,4607745,4398
WHIRLPOOL,4610817,172322
VLEGOV,4611073,253534
SBFC,4614657,1968642
MBLINFRA,4615425,72098
ADVENZYMES,4617985,314520
CONCORDBIO,4623361,97816
DBL,4630017,331034
JUBLFOOD,4632577,1370016
NIFTY1,4634113,93507
VASCONEQ,4636161,2690555
THANGAMAYL,4638209,40873
SRGHFL,4638465,2475
DBREALTY,4639745,846337
YASHO,4641537,11677
DOLPHIN,4643585,4611
EMMBI,4644353,20833
JIOFIN,4644609,9829584
TVSSCS,4646657,452991
HATHWAY,4647425,1559101
ORIENTLTD,4661249,12923
TEXMOPIPES,4662785,33208
KECL,4664321,121025
MANINFRA,4665857,361532
PYRAMID,4672001,21496
SPAL,4672513,49522
AEROFLEX,4676609,559501
HDFCLIQUID,4679425,11522
HNGSNGBEES,4680705,150498
LGBBROSLTD,4690177,27126
VPRPL,4695297,1206246
NIFMID150,4696833,1306
SANDUMA,4699905,207220
PERSISTENT,4701441,482017
NDGL,4702977,185
RBLBANK,4708097,12075247
ASIANHOTNR,4716033,14433
RATNAVEER,4716289,330424
BIGBLOC,4718337,70832
POWERINDIA,4724993,140518
ISFT,4730625,19719
TVVISION,4737025,43077
CUPID,4741121,3621457
DIACABS,4747009,1406658
JLHL,4749569,37979
MITTAL,4751873,676572
LTTS,4752385,58983
RRKABEL,4752897,114825
GNA,4754177,22809
KIRLOSBROS,4756737,55089
EMSLIMITED,4759809,159800
ZAGGLE,4763649,743935
SAMHI,4765185,1003851
DIAMINESQ,4772865,5182
ICICIPRULI,4774913,888440
MARATHON,4776705,131803
HPL,4781825,146892
NUVAMA,4792577,134022
MASKINVEST,4794113,0
SIGNATURE,4798209,290236
KALAMANDIR,4801281,1251885
YATRA,4802561,3313959
IDFNIFTYET,4808449,1195
ENDURANCE,4818433,149446
TARAPUR,4819713,0
VERTOZ,4828929,189586
MAZDA,4829697,22277
SJVN,4834049,2481884
KSL,4835585,43381
PNBHOUSING,4840449,1163369
VBL,4843777,6354708
SUNDARAM,4846337,448030
RAJRATAN,4854273,98951
KAPSTON,4855553,11567
UNIVASTU,4858113,49192
MVGJL,4867841,92307
JSWINFRA,4869121,1226597
KIRLOSIND,4870401,5482
PODDARMENT,4873217,4462
MANAPPURAM,4879617,3883529
AARVI,4882689,27904
ITBEES,4885505,8489741
SILLYMONKS,4888833,0
ROLLT,4890625,118640
NBIFIN,4892417,275
UDS,4892929,254693
KIOCL,4896257,0
UMESLTD,4900353,28093
SFL,4911105,122729
TI,4914177,1397284
HEADSUP,4916481,49643
HMVL,4918017,46456
VALIANTLAB,4919809,30312
TCIEXP,4921089,20549
SENSEXETF,4921345,12141
AARTISURF,4923649,4159
LAURUSLABS,4923905,2182863
IMFA,4924161,120372
MONIFTY500,4924673,395784
BLISSGVS,4931841,1145260
EMAMIREAL,4934913,22750
THEJO,4935425,3616
MOM50,4937985,5734
ITDC,4940545,201415
HISARMETAL,4946433,3191
SPCENET,4959233,0
BOROLTD,4966657,83895
ROSSARI,4968961,58958
AHLEAST,4976129,7362
CAPTRUST,4978433,21613
PLAZACABLE,4981249,34315
SECMARK,4990977,2179
TICL,4992257,0
IITL,4998401,7549
BAJAJCON,4999937,977975
BHANDARI,5006337,194733
UGARSUGAR,5011969,116069
BSE,5013761,4496153
IRMENERGY,5016833,249289
PRAKASHSTL,5017345,170030
PRICOLLTD,5025537,531824
ITETF,5026049,278464
ALPHAETF,5027841,484755
MAXESTATES,5029377,89445
BLUEJET,5039617,539869
LIQUIDSBI,5044481,8367
GPPL,5051137,1460010
ADFFOODS,5058817,124172
MUFIN,5064449,317794
CELLO,5067521,204971
HONASA,5072129,951341
AMNPLST,5085953,7067
LGHL,5088257,67051
RADIOCITY,5088513,93774
ESAFSFB,5088769,325050
DMART,5097729,404848
ORISSAMINE,5102337,13633
KILITCH,5103873,9775
DEEPAKNTR,5105409,101808
SASTASUNDR,5136129,20440
INTENTECH,5138177,0
INFRABEES,5138433,9576
CPCAP,5142017,23032
TASTYBITE,5143553,1366
GREENPOWER,5148161,3220780
RAMKY,5154305,80940
ASKAUTOLTD,5158913,225441
ARIHANTSUP,5160705,27477
CANTABIL,5160961,121741
AKSHARCHEM,5165569,4674
ASHOKA,5166593,731259
WABAG,5168129,169650
BEDMUTHA,5170177,9977
URJA,5171969,1003990
JWL,5177345,671294
OBEROIRLTY,5181953,514374
IREDA,5186817,5521516
TATATECH,5195009,640770
PRESTIGE,5197313,684948
GANDHAR,5197569,148507
SHANKARA,5202177,182135
FEDFINA,5202433,1284309
RESPONIND,5202689,68698
CGCL,5204225,2365268
FLAIR,5215233,168291
COALINDIA,5215745,5433040
IOLCP,5225729,2330448
WIPL,5243137,9857
PRUDMOULI,5254913,88434
BAJEL,5255937,150556
GRAVITA,5256705,289052
DOMS,5261057,67325
INDIASHLTR,5262337,157838
DOLLAR,5263361,94236
INOXINDIA,5275393,64641
SUPERHOUSE,5277697,8240
PENIND,5278977,1089638
JINDWORLD,5284353,1715564
SCHAND,5298689,44056
RPPINFRA,5314561,80012
JAMNAAUTO,5319169,1051352
MOTISONS,5321729,2079029
SURAJEST,5330433,221300
HUDCO,5331201,3059774
MOIL,5332481,697106
MUTHOOTMF,5332737,182541
ZEELEARN,5338113,490747
HAPPYFORGE,5338625,24418
RBZJEWEL,5343745,129006
PSPPROJECT,5344513,259248
MUFTI,5344769,136037
AZAD,5351681,189986
KIRLOSENG,5359617,473282
RKDL,5363201,21376
SUNCLAY,5364737,17428
PSB,5376257,1445866
FMNL,5380353,0
INNOVACAP,5391873,26940
SURANASOL,5395713,71057
STARCEMENT,5399297,308354
SHEKHAWATI,5400321,20643
BFINVEST,5404929,35700
KICL,5406465,1397
TEJASNET,5409537,978254
ERIS,5415425,96774
CDSL,5420545,2031454
GTPL,5425921,19084
AUBANK,5436929,2697036
DIGIDRIVE,5439233,37660
AXISNIFTY,5440513,13923
LOWVOLIETF,5441025,1509958
SUMMITSEC,5446401,18627
DYNPRO,5456385,23648
JYOTICNC,5461505,251895
STEELXIND,5462785,1988733
SALASAR,5468673,11273249
PALASHSECU,5474049,5127
MAGADSUGAR,5476353,5217
GANGESSECU,5478145,2882
AVADHSUGAR,5479937,26276
MOM100,5484289,346672
THEINVEST,5485313,11815
TATSILV,5485569,6959738
OPTIEMUS,5496065,209946
UTINEXT50,5498369,82998
STEL,5499905,7280
SIS,5504257,78364
COCHINSHIP,5506049,1132613
SMSLIFE,5517057,1121
COMSYN,5523969,0
ABCAPITAL,5533185,5177742
APEX,5535489,264968
BRNL,5550849,230560
DIXON,5552641,271604
DCAL,5556225,158414
MEDIASSIST,5556481,222951
MATRIMONY,5561857,10913
RHFL,5563649,0
CHOLAHLDNG,5565441,205466
CAPACITE,5567745,339394
LIQUIDCASE,5568001,9109743
ICICIGI,5573121,482420
DAVANGERE,5579265,6844243
SBILIFE,5582849,841296
TEXRAIL,5587969,946861
DIAMONDYD,5591041,80528
HFCL,5619457,12489220
INDTERRAIN,5620993,89797
NIFTYBETF,5621505,2749
BANKBETF,5628417,27477
DHUNINV,5691649,1260
EBBETF0431,5693185,10724
NDRAUTO,5697281,31949
WORTH,5702913,23284
TIRUPATIFL,5704193,175588
ALPL30IETF,5720065,811644
MACPOWER,5720833,8475
MCL,5724161,0
ITIETF,5725441,648573
MAXHEALTH,5728513,2226486
LOVABLE,5738241,17745
TOTAL,5740289,6121
MAXIND,5741569,49629
HDFCNIFBAN,5742849,104093
UTIBANKETF,5744641,231526
EPACK,5750529,610283
NOVAAGRI,5754113,99404
NIFITETF,5756929,2105
NIF5GETF,5765377,4040
NIF10GETF,5766145,3752
BLSE,5776897,73469
HEALTHADD,5783553,1628
HDFCPSUBK,5784321,26839
PFS,5786113,516905
PARKHOTELS,5798145,405759
SIGNPOST,5799937,48901
JSFB,5801729,230455
RPTECH,5803521,136668
CAPITALSFB,5804801,38055
ENTERO,5815553,82885
LICNMID100,5816833,12249
VSTL,5818881,17438
MON100,5821185,718694
JUNIPER,5842945,104056
SMALLCAP,5844993,1648041
GPTHEALTH,5848577,106677
PLATIND,5870081,129806
EXICOM,5874433,245628
MUKKA,5882881,320669
LANCORHOL,5894913,0
RKSWAMY,5899009,39545
JGCHEM,5902337,211284
GOPAL,5904897,117011
SCILAL,5920513,418511
PVSL,5924353,84141
KRYSTAL,5932801,19501
MOSMALL250,5934337,878911
MOREALTY,5935105,332373
SRM,5990913,188580
LIQUIDADD,5992193,590126
SINCLAIR,6010881,50320
BHARTIHEXA,6013185,205971
TARACHAND,6019073,141354
AIIL,6029569,83796
GLOSTERLTD,6039041,1645
BALUFORGE,6043393,172317
JNKINDIA,6046977,62040
FILATFASH,6053633,34933596
MUTHOOTFIN,6054401,652085
INDGN,6065409,364002
AADHARHFC,6074625,326932
TBOTEK,6077441,239150
GODIGIT,6092545,642710
ABSLPSE,6094337,178748
MIDSMALL,6106881,266907
AWFIS,6109185,376202
LIQUIDBETF,6122241,328675
BOROSCI,6147585,98323
KRONOX,6150401,71592
IXIGO,6161153,4661604
MID150CASE,6163713,1376609
TOP100CASE,6164737,687139
BBNPNBETF,6173953,1138
RETAIL,6181121,9051
DEEDEV,6183425,120960
AFIL,6184705,1181531
PIIND,6191105,190670
SYMPHONY,6192641,53478
VADILALIND,6194177,5009
IVZINNIFTY,6199553,41
RELAXO,6201601,314640
STANLEY,6201857,43497
OMINFRAL,6203137,149885
ESTER,6211841,159275
VSTTILLERS,6218753,28944
ABDL,6222849,494380
VRAJ,6226177,19478
LIQUIDSHRI,6239745,11611
BANSALWIRE,6242817,87479
EMCURE,6245889,129860
ASHIANA,6247169,38308
ABGSEC,6247425,730
DHANUKA,6248705,41245
AGIIL,6257921,104124
EVINDIA,6262017,229451
SBINEQWETF,6278145,18264
FILATEX,6280193,1739376
OILIETF,6280449,2032340
MAITHANALL,6281729,35360
SANSTAR,6292993,472474
RUSHIL,6296321,507914
RELTD,6296577,135700
AVANTEL,6300161,2440555
AKUMS,6327041,170758
RUBFILA,6330881,41264
RPEL,6332161,40408
CEIGALL,6333953,189159
BSLNIFTY,6343937,327572
GROWWEV,6348289,260529
UNIECOM,6351105,265795
FIRSTCRY,6352385,815690
MANCREDIT,6354689,36829
GSEC10ABSL,6360833,466
SUYOG,6361857,22201
SSDL,6363137,29001
METALIETF,6364417,3033206
INVENTURE,6366721,1036010
INTERARCH,6376705,28159
GLOBALE,6382593,7550
MFML,6383873,12754
MODEFENCE,6385665,2161566
LTF,6386689,7243239
ORIENTTECH,6390017,231857
SURAJLTD,6391297,26227
WINDMACHIN,6392065,61862
BODALCHEM,6404353,182501
PREMIERENE,6412545,985256
ECOSMOBLTY,6415361,179701
RAYMONDLSL,6418689,114053
MULTICAP,6420481,224782
TREEHOUSE,6420993,24835
ASAHISONG,6422529,12373
STYLEBAAZA,6429185,423810
GALAPREC,6434305,12287
BROOKS,6434817,30841
RVTH,6440193,1683
EUREKAFORB,6441473,176887
TOP10ADD,6443777,300023
TDPOWERSYS,6445569,873263
BALAJEE,6451969,178491
SANOFICONR,6456833,6570
XTGLOBAL,6460161,46527
KROSS,6464513,299483
EBANKNIFTY,6466049,984
TOLINS,6467073,482385
BAJAJHFL,6469121,3748183
PNGJL,6479873,268278
APLLTD,6483969,98197
PGEL,6491649,3778183
PANAMAPET,6500353,50434
ARKADE,6501889,471902
WCIL,6503169,288515
NORTHARC,6509057,687670
GROWWLIQID,6514433,211389
PAISALO,6519809,8697000
TIJARIA,6523393,30876
ONELIFECAP,6525953,0
INDOUS,6528769,21217
FLEXITUFF,6531073,13310
SHAKTIPUMP,6546945,313580
TRITURBINE,6549505,408542
MANBA,6552833,42121
MOMENTUM50,6555137,393856
INDOTHAI,6555649,0
UYFINCORP,6560257,0
ESSARSHPNG,6562305,0
KRN,6564609,320108
DIFFNKG,6572033,105888
JISLDVREQS,6575105,23755
DSSL,6576641,22646
POLYMED,6583809,183716
RUPA,6585345,82294
BANKPSU,6585601,12610
METAL,6590465,1047927
VIKASECO,6593537,2691894
GROWWDEFNC,6594049,297055
APLAPOLLO,6599681,531493
KANANIIND,6601217,219450
GARUDA,6604801,3154972
LLOYDSENT,6606593,1495863
VINCOFE,6613761,2139658
HYUNDAI,6616065,791655
AFFORDABLE,6618881,85517
DBEIL,6628353,108525
MINDACORP,6629633,292079
WAAREEENER,6632193,1295443
GODAVARIB,6640897,59277
AFCONS,6650113,659094
AVL,6651905,280713
EMULTIMQ,6654977,79289
HEXATRADEX,6914049,4483
ABINFRA,6917121,58187
TBZ,6921473,283614
MASTERTR,6924033,998467
SAGILITY,6925313,34422171
ACMESOLAR,6927617,1029254
SWIGGY,6928897,8917655
VSSL,6929153,63597
LIQUIDPLUS,6931201,95455
KPEL,6932225,295556
KMEW,6933505,84735
SWANCORP,6936321,1418309
NIVABUPA,6936833,2656130
SPECIALITY,6939393,31428
BLACKBUCK,6948865,1345300
CINELINE,6953217,21866
RACLGEAR,6955777,31523
NTPCGREEN,6957057,4700149
EIEL,6966529,868052
RTNINDIA,6988033,2011089
SAMPANN,6989569,111996
SURAKSHA,6997505,36880
ROSSTECH,7002369,106391
ODIGMA,7058177,0
