Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      RATNAVEER    61.0       341304     high       15.33 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RATNAVEER/4716289
09:16      RNBDENIMS    52.0       77145      high       18.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RNBDENIMS/194299137
09:17      BLKASHYAP    185.0      690215     high       11.32 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLKASHYAP/3402241
09:17      SELAN        15.0       41715      high       4.58  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SELAN/3481089
09:17      TATSILV      434.0      6959738    high       14.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATSILV/5485569
09:18      GODFRYPHLP   3.0        722132     high       14.02 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GODFRYPHLP/302337
09:19      TIL          37         20302      high       3.82  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TIL/891905
09:19      E2E          3          94810      high       15.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/E2E/2287873
09:19      NETWEB       2.0        500000     high       15.03 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NETWEB/4462849
09:20      TATAINVEST   14.0       95596      high       15.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATAINVEST/414977
09:20      TARIL        32.0       1011859    high       17.27 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TARIL/3884545
09:20      MCX          4.0        476918     high       6.69  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MCX/7982337
09:22      MUFIN        81.0       317794     high       16.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MUFIN/5064449
09:24      RATNAMANI    4.0        21058      low        24.26 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RATNAMANI/3443457
09:25      IFCI         156.0      5261213    high       17.67 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IFCI/381697
09:26      NEWGEN       18.0       1666292    high       18.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NEWGEN/297985
09:27      RACLGEAR     6.0        31523      high       6.58  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RACLGEAR/6955777
09:32      AXISCADES    6          110277     high       0.45  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AXISCADES/2415617
09:33      BHARATWIRE   51.0       184079     high       16.98 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BHARATWIRE/4127489
09:36      PRECWIRE     33.0       149019     high       18.01 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRECWIRE/695553
09:37      REFEX        38.0       306395     high       13.56 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/REFEX/4547585
09:38      NATCOPHARM   10.0       614993     high       15.39 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NATCOPHARM/1003009
09:38      MANINDS      22.0       467342     high       14.46 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MANINDS/3042305
09:38      UNIECOM      86.0       528130     low        22.17 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/UNIECOM/6351105
09:39      OIL          21.0       1817949    high       7.19  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/OIL/4464129
09:42      MRPL         50.0       3507707    high       15.61 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MRPL/584449
09:43      APEX         22.0       401728     high       8.61  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APEX/5535489
09:44      AURIONPRO    9.0        147175     high       17.18 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AURIONPRO/3077633
09:45      AEROFLEX     44.0       1190414    low        21.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AEROFLEX/4676609
09:50      INTELLECT    13.0       462947     high       13.64 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INTELLECT/1517057
09:52      ORIENTTECH   30         231857     high       16.63 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ORIENTTECH/6390017
09:57      BHARATSE     49         180431     high       15.8  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BHARATSE/7742465
10:00      TMB          14.0       67067      high       18.48 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TMB/2801921
