Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-30 09:27:00  VSTIND       152266     69272.0   Dynamic   42604.0    yes      10.88
2025-10-30 09:27:00  VAIBHAVGBL   217163     193898.0  Dynamic   60221.0    yes      11.49
2025-10-30 09:27:00  CEATLTD      4648       -32407.0  Dynamic   18800.0    yes      19.11
2025-10-30 09:27:00  ASALCBR      19367      -368222.0 Dynamic   21031.0    yes      15.54
2025-10-30 09:30:00  CEATLTD      2762       -32407.0  Dynamic   11197.0    yes      18.84
2025-10-30 09:31:00  GMMPFAUDLR   3592       -252708.0 Dynamic   4514.0     no       17.69
2025-10-30 09:31:00  VSTIND       150169     69272.0   Dynamic   42002.0    yes      10.92
2025-10-30 09:31:00  SATIN        16929      9517.0    Dynamic   2678.0     no       19.63
2025-10-30 09:33:00  VSTIND       212939     69272.0   Dynamic   59623.0    yes      10.8 
2025-10-30 09:33:00  ASALCBR      7967       -368222.0 Dynamic   8883.0     yes      12.53
2025-10-30 09:34:00  INDRAMEDCO   95956      83958.0   Dynamic   54465.0    no       20.47
2025-10-30 09:34:00  ASALCBR      12146      -368222.0 Dynamic   13587.0    yes      12.16
2025-10-30 09:35:00  GSLSU        3844       -97649.0  Dynamic   415.0      no       10.23
2025-10-30 09:36:00  GSLSU        4886       -97649.0  Dynamic   528.0      no       10.19
2025-10-30 09:36:00  ESSARSHPNG   32508      -80353.0  Dynamic   1309.0     no       19.44
2025-10-30 09:44:00  ABREL        7184       -63635.0  Dynamic   13219.0    yes      18.55
2025-10-30 09:44:00  GSLSU        4024       -97649.0  Dynamic   430.0      no       11.31
2025-10-30 09:46:00  RRKABEL      4365       -80114.0  Dynamic   6198.0     no       20.47
2025-10-30 09:48:00  PDSL         19603      -66008.0  Dynamic   7195.0     yes      13.38
2025-10-30 09:48:00  RRKABEL      5850       -80114.0  Dynamic   8349.0     no       19.87
2025-10-30 09:53:00  V2RETAIL     13149      -147041.0 Dynamic   30582.0    yes      0.0  
2025-10-30 09:55:00  WALCHANNAG   9227       -78544.0  Dynamic   1648.0     no       9.36 
2025-10-30 09:56:00  MOLDTKPAC    7617       -83329.0  Dynamic   5453.0     no       22.86
2025-10-30 09:56:00  IDEA         16670597   1934822.0 Dynamic   142033.0   no       20.77
2025-10-30 09:57:00  ASALCBR      7038       -368222.0 Dynamic   7894.0     yes      11.87
2025-10-30 10:00:00  PDSL         23815      -66008.0  Dynamic   8788.0     yes      12.78
2025-10-30 10:01:00  BLSE         2940       -184858.0 Dynamic   534.0      no       12.82
2025-10-30 10:03:00  VAIBHAVGBL   232894     193898.0  Dynamic   66349.0    no       8.52 
2025-10-30 10:04:00  VAIBHAVGBL   352264     193898.0  Dynamic   100881.0   yes      7.95 
2025-10-30 10:05:00  HDFCNIFBAN   4469       -103131.0 Dynamic   267.0      yes      19.95
2025-10-30 10:11:00  SAGILITY     1625929    1257628.0 Dynamic   87556.0    no       13.35
2025-10-30 10:12:00  SAGILITY     1762767    1257628.0 Dynamic   94960.0    no       13.31
2025-10-30 10:13:00  PDSL         8036       -66008.0  Dynamic   2977.0     yes      12.32
2025-10-30 10:18:00  ESSARSHPNG   13027      -80353.0  Dynamic   531.0      no       18.04
2025-10-30 10:19:00  IDEA         14382668   1934822.0 Dynamic   121102.0   no       16.75
2025-10-30 10:20:00  IDEA         16476486   1934822.0 Dynamic   139226.0   no       16.33
2025-10-30 10:20:00  SAGILITY     4126693    1257628.0 Dynamic   224162.0   no       12.37
2025-10-30 10:22:00  PASUPTAC     4926       -212511.0 Dynamic   261.0      no       16.42
2025-10-30 10:23:00  SAGILITY     5052625    1257628.0 Dynamic   277339.0   no       11.2 
2025-10-30 10:29:00  ASALCBR      18537      -368222.0 Dynamic   21508.0    yes      8.14 
2025-10-30 10:32:00  IDEA         20807194   1934822.0 Dynamic   179982.0   no       13.64
2025-10-30 10:38:00  ASALCBR      5841       -368222.0 Dynamic   6776.0     yes      8.16 
2025-10-30 10:39:00  ASALCBR      5850       -368222.0 Dynamic   6794.0     yes      8.04 
2025-10-30 10:43:00  ASALCBR      9268       -368222.0 Dynamic   10795.0    yes      7.72 
2025-10-30 10:49:00  RRKABEL      14497      -80114.0  Dynamic   20513.0    no       20.89
2025-10-30 10:51:00  CEATLTD      8514       -32407.0  Dynamic   34857.0    yes      17.67
2025-10-30 10:52:00  BAJAJHCARE   10746      -49106.0  Dynamic   5218.0     yes      13.44
2025-10-30 10:59:00  FDC          1614       -141167.0 Dynamic   722.0      yes      18.16
2025-10-30 10:59:00  CEATLTD      8440       -32407.0  Dynamic   35134.0    yes      15.73
2025-10-30 11:01:00  PDSL         8986       -66008.0  Dynamic   3323.0     no       12.53
2025-10-30 11:04:00  SAGILITY     2674732    1257628.0 Dynamic   151390.0   no       7.84 
2025-10-30 11:05:00  CEATLTD      4400       -32407.0  Dynamic   18284.0    yes      15.94
2025-10-30 11:05:00  SAGILITY     2989799    1257628.0 Dynamic   169581.0   no       7.62 
2025-10-30 11:06:00  SAGILITY     3650471    1257628.0 Dynamic   207237.0   yes      7.52 
2025-10-30 11:11:00  PASUPTAC     34069      -212511.0 Dynamic   1966.0     no       6.9  
