Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-11-03 09:17:00  TATAINVEST   152359     95596     UV        38155.0    yes      18.23 NA:NEM 
2025-11-03 09:17:00  NAVINFLUOR   162918     110167    UV        215406.0   yes      15.13 long:loss
2025-11-03 09:18:00  SANDUMA      210336     207220    UV        4551.0     yes      17.46 long:profit
2025-11-03 09:19:00  INOXGREEN    2290035    727315    UV        33022.0    yes      6.56  long:loss
2025-11-03 09:19:00  LGBBROSLTD   163131     27126     UV        29417.0    yes      6.6   long:profit
2025-11-03 09:19:00  TDPOWERSYS   879905     873263    UV        107600.0   yes      15.02 long:profit
2025-11-03 09:20:00  V2RETAIL     89525      86322     UV        15190.0    yes      0.0   NA:CTUC
2025-11-03 09:22:00  INTELLECT    694949     462947    UV        101333.0   yes      11.59 long:profit
2025-11-03 09:23:00  BANKBARODA   7200146    6806199   UV        116390.0   yes      4.95  long:loss
2025-11-03 09:25:00  STAR         386432     363285    UV        34344.0    yes      15.87 long:profit
2025-11-03 09:25:00  SEQUENT      625128     602716    UV        23854.0    yes      13.79 long:loss
2025-11-03 09:25:00  SBFC         2014718    1968642   UV        32351.0    yes      15.84 NA:NE
2025-11-03 09:25:00  RPEL         52681      40408     UV        4093.0     yes      15.37 long:profit:MB
2025-11-03 09:26:00  GULPOLY      89055      80537     UV        1679.0     yes      14.52 long:loss
2025-11-03 09:26:00  WELCORP      491074     490968    UV        51791.0    yes      17.3  NA:NE
2025-11-03 09:26:00  GSLSU        110025     106554    UV        1706.0     yes      11.08 long:loss
2025-11-03 09:27:00  SWSOLAR      2508168    1848850   UV        71764.0    yes      10.01 long:loss
2025-11-03 09:27:00  ASALCBR      39042      33621     UV        4776.0     yes      18.3  long:profit
2025-11-03 09:28:00  DREDGECORP   656228     30442     UV        98499.0    yes      8.67  long:profit:MB
2025-11-03 09:28:00  PSUBANK      47710      39565     UV        15384.0    yes      16.28 NA:LV
2025-11-03 09:34:00  GMMPFAUDLR   55137      55015     UV        22625.0    yes      19.02 NA:NEM
2025-11-03 09:35:00  LATENTVIEW   458067     412770    UV        3198.0     yes      16.66 long:profit
2025-11-03 09:35:00  APTECHT      60328      59494     UV        1288.0     yes      16.97 NA:LV
2025-11-03 09:36:00  INDRAMEDCO   592441     231107    UV        12287.0    yes      20.48 NA:NDH
2025-11-03 09:36:00  WOCKPHARMA   416580     407239    UV        63427.0    yes      13.11 long:loss
2025-11-03 09:36:00  GNA          63129      51774     UV        1124.0     yes      14.47 NA:LV
2025-11-03 09:37:00  ADANIPOWER   4963520    4874342   UV        17118.0    yes      19.67 NA:NEM
2025-11-03 09:38:00  VGUARD       275561     269246    UV        1791.0     yes      15.18 long:loss
