Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-31 09:18:00  XCHANGING    81367      47498.0   50%       8030.0     yes      16.07
2025-10-31 09:19:00  ASALCBR      35106      16810.0   50%       43142.0    no       19.96
2025-10-31 09:20:00  ASALCBR      37347      16810.0   50%       46488.0    no       18.43
2025-10-31 09:21:00  ASALCBR      37526      16810.0   50%       47367.0    yes      16.79
2025-10-31 09:24:00  ESSARSHPNG   46281      45883.0   40%       1857.0     yes      23.01
2025-10-31 09:34:00  RAJRATAN     39325      34633.0   35%       17242.0    yes      10.58
2025-10-31 09:35:00  RAJRATAN     74642      49476.0   50%       32898.0    yes      10.01
2025-10-31 09:36:00  RAJRATAN     84691      49476.0   50%       37599.0    yes      9.21 
2025-10-31 09:38:00  NAVINFLUOR   109708     55084.0   50%       624019.0   no       4.99 
2025-10-31 09:47:00  AVTNPL       153255     108262.0  50%       12023.0    no       7.79 
2025-10-31 09:51:00  NAVINFLUOR   77256      55084.0   50%       442291.0   yes      4.32 
2025-10-31 10:10:00  AVTNPL       122658     108262.0  50%       9597.0     no       8.08 
2025-10-31 10:19:00  ESSARSHPNG   47036      45883.0   40%       1981.0     yes      17.19
2025-10-31 10:26:00  AVTNPL       87430      86609.0   40%       6748.0     no       9.56 
2025-10-31 10:55:00  AVTNPL       91348      86609.0   40%       7118.0     no       8.52 
2025-10-31 10:58:00  ATAM         9419       9205.0    35%       998.0      no       7.44 
2025-10-31 11:00:00  LANCORHOL    103901     100423.0  45%       2786.0     yes      1.68 
2025-10-31 11:01:00  ATAM         11105      10520.0   40%       1208.0     yes      4.68 
2025-10-31 11:02:00  ATAM         27138      13150.0   50%       2953.0     no       4.66 
2025-10-31 11:22:00  NAVINFLUOR   51067      49575.0   45%       295555.0   yes      3.19 
2025-10-31 11:38:00  IDBI         2720660    2611178.0 35%       286349.0   yes      11.62
2025-10-31 12:03:00  MUFIN        185922     158897.0  50%       19713.0    yes      11.56
