Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      GANECOS      8          51112      high       10.53 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GANECOS/1777665
09:17      CREDITACC    7          432729     high       9.91  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CREDITACC/1131777
09:17      PDSL         32         121942     high       12.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PDSL/1347585
09:17      LUXIND       8.0        25421      high       17.75 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LUXIND/2893057
09:17      WEBELSOLAR   129.0      221476     high       9.83  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:17      VMART        15.0       169437     high       17.57 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VMART/7496705
09:18      SELAN        15.0       41715      high       7.68  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SELAN/3481089
09:18      SENCO        30         796110     high       17.61 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SENCO/4421377
09:20      WALCHANNAG   65.0       115596     high       16.53 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WALCHANNAG/956417
09:20      FINOPB       75.0       262751     high       3.95  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FINOPB/1684225
09:20      ZYDUSWELL    20.0       584571     low        23.67 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ZYDUSWELL/4514561
09:21      GALLANTT     15.0       468567     high       7.82  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GALLANTT/3414273
09:22      RPSGVENT     8.0        49829      high       6.14  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPSGVENT/2078465
09:22      TTML         263.0      772913     high       17.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TTML/2292225
09:27      KOPRAN       70.0       225828     high       6.41  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KOPRAN/491265
09:30      TATSILV      454.0      6959738    high       17.75 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATSILV/5485569
09:31      FIRSTCRY     40.0       3002112    high       10.54 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FIRSTCRY/6352385
09:33      ADANIPOWER   60.0       4874342    high       9.14  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIPOWER/4451329
09:36      ANGELONE     40.0       965804     high       9.81  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANGELONE/82945
09:39      MMTC         169.0      898992     high       14.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MMTC/4596993
09:40      EIHOTEL      33.0       754126     low        22.37 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/EIHOTEL/235265
09:41      MCX          3          476918     high       11.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MCX/7982337
09:47      ZAGGLE       42.0       743935     high       17.15 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ZAGGLE/4763649
09:48      THANGAMAYL   2          40873      high       7.36  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:55      ADANIGREEN   10.0       1527657    high       9.09  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIGREEN/912129
09:59      HINDALCO     10.0       4651889    high       6.66  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HINDALCO/348929
10:00      KERNEX       9.0        64184      high       15.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KERNEX/3358977
10:02      DEEPINDS     21.0       330410     high       14.51 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DEEPINDS/842753
10:02      TTKPRESTIG   20         67222      high       14.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TTKPRESTIG/907777
10:04      KOTAKBANK    27.0       3474018    high       10.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KOTAKBANK/492033
10:04      TATAELXSI    2.0        140748     high       9.13  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATAELXSI/873217
10:05      VEDL         13.0       7832775    high       6.47  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VEDL/784129
10:06      AGIIL        31.0       104124     high       18.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
10:10      PRESTIGE     8.0        684948     high       7.51  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRESTIGE/5197313
10:12      CCL          8.0        240117     high       16.27 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CCL/2931713
