Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      MAFANG       63.0       257991     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAFANG/897793
09:16      METROPOLIS   22.0       61355      high       17.36 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/METROPOLIS/2452737
09:16      CONFIPET     175.0      457415     high       0.65  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CONFIPET/2620929
09:16      AGIIL        31.0       104124     high       14.48 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:17      WEBELSOLAR   131.0      221476     high       10.62 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:18      LATENTVIEW   32.0       412770     low        22.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LATENTVIEW/1745409
09:18      ADANIPOWER   60.0       4874342    high       7.69  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIPOWER/4451329
09:18      VMART        18.0       169437     low        21.65 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VMART/7496705
09:19      SENCO        31.0       796110     high       9.13  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SENCO/4421377
09:19      SHILPAMED    25.0       60022      low        22.21 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SHILPAMED/4544513
09:21      GANECOS      9.0        51112      high       11.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GANECOS/1777665
09:21      RPSGVENT     9          49829      high       8.53  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPSGVENT/2078465
09:23      SPLPETRO     12.0       99973      high       10.6  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SPLPETRO/2461953
09:24      LUXIND       10         25421      high       13.59 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LUXIND/2893057
09:26      ZAGGLE       44         743935     low        25.85 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ZAGGLE/4763649
09:27      HCC          666.0      3867847    low        22.95 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HCC/352001
09:28      THANGAMAYL   2.0        40873      high       1.96  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:29      SELAN        16.0       41715      high       5.85  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SELAN/3481089
09:30      GRINFRA      11.0       23559      low        21.74 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GRINFRA/1293825
09:30      APOLLOPIPE   23         64020      low        23.09 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APOLLOPIPE/3676417
09:32      ZYDUSWELL    20.0       584571     high       11.15 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ZYDUSWELL/4514561
09:36      TRENT        2.0        944745     high       4.61  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TRENT/502785
09:36      ANGELONE     40.0       965804     high       9.48  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANGELONE/82945
09:37      GAEL         68.0       412803     high       15.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GAEL/2259969
09:40      MOIL         33.0       697106     high       17.15 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MOIL/5332481
09:41      ACUTAAS      4.0        334716     high       17.18 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ACUTAAS/1427969
09:41      KTKBANK      42.0       1009435    high       16.16 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KTKBANK/2061825
09:41      STLTECH      52.0       2188258    high       3.31  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/STLTECH/2383105
09:41      MAHABANK     149.0      6507294    high       15.11 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAHABANK/2912513
09:41      MCX          3.0        476918     high       8.09  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MCX/7982337
09:44      GUJALKALI    16.0       69397      high       10.24 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GUJALKALI/324353
09:44      V2RETAIL     51.0       86322      high       18.08 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/V2RETAIL/3780097
09:46      GESHIP       6          258050     high       15.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GESHIP/3526657
09:48      LUMAXTECH    5.0        186365     high       10.39 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LUMAXTECH/3587585
09:49      SANSERA      4.0        87370      high       17.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANSERA/1472257
09:49      HSCL         22.0       996126     low        23.51 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HSCL/3669505
09:49      IRB          500.0      9576824    low        28.68 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IRB/3920129
09:54      ADANIGREEN   11         1527657    high       8.73  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIGREEN/912129
10:02      KAYNES       2.0        570385     high       10.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KAYNES/3095553
10:07      NELCO        16.0       123592     high       11.44 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NELCO/611329
10:11      HINDCOPPER   19.0       5504832    high       18.19 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HINDCOPPER/4592385
10:13      VENKEYS      7.0        53148      high       12.79 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VENKEYS/961793
10:14      DWARKESH     212.0      541140     high       16.26 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DWARKESH/2986753
10:15      LODHA        14.0       1709899    high       9.03  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LODHA/824321
10:15      RPOWER       434.0      15282667   high       17.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPOWER/3906305
10:29      DALMIASUG    26.0       87342      high       18.05 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DALMIASUG/199937
10:32      PRAJIND      28.0       747665     high       16.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRAJIND/692481
10:38      ELLEN        47.0       462191     high       4.2   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ELLEN/194192129
10:39      PRESTIGE     8          684948     high       9.24  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRESTIGE/5197313
11:00      CARBORUNIV   11.0       304601     low        22.33 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CARBORUNIV/152321
11:01      AVADHSUGAR   20.0       35999      high       14.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AVADHSUGAR/5479937
11:07      REFEX        47.0       306395     high       18.22 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/REFEX/4547585
11:10      FISCHER      243.0      555545     high       4.53  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FISCHER/193960449
12:09      LIBERTSHOE   35.0       26491      high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LIBERTSHOE/510465
12:10      EIHOTEL      31         754126     high       9.43  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/EIHOTEL/235265
12:16      LALPATHLAB   7.0        128656     high       18.26 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LALPATHLAB/2983425
12:37      CRISIL       2.0        34241      high       17.65 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CRISIL/193793
12:48      CHOLAFIN     7.0        1471924    high       9.42  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CHOLAFIN/175361
13:17      ADANIENT     5.0        762803     high       7.53  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIENT/6401
13:24      MOCAPITAL    222.0      460310     high       18.13 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MOCAPITAL/7696641
13:33      KCP          64.0       262552     high       6.07  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KCP/471297
13:40      KOTAKBANK    27.0       3474018    high       9.45  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KOTAKBANK/492033
