Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:21      GUJALKALI    14.0       69397      high       6.7   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GUJALKALI/324353
09:21      RAILTEL      28.0       2236249    high       14.8  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAILTEL/622337
09:21      ANGELONE     33.0       965804     high       9.38  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANGELONE/82945
09:21      SUDARSCHEM   11.0       318343     high       18.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUDARSCHEM/851713
09:21      LUXIND       6.0        25421      high       7.11  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LUXIND/2893057
09:21      WEBELSOLAR   109.0      221476     high       6.03  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:21      RPOWER       344.0      15282667   high       17.18 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPOWER/3906305
09:21      TATSILV      416.0      6959738    high       12.79 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATSILV/5485569
09:21      AGIIL        25.0       104124     high       17.86 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:21      AFCONS       27.0       1150418    high       13.7  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AFCONS/6650113
09:22      FSL          41.0       1085680    high       9.8   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FSL/3661825
09:22      HILTON       344.0      55160      high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HILTON/3744513
09:22      SURAJEST     37.0       221300     high       2.99  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SURAJEST/5330433
09:23      PRECWIRE     27.0       149019     high       16.73 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRECWIRE/695553
09:23      SONATSOFTW   34.0       2586710    high       6.92  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SONATSOFTW/1688577
09:23      ASTEC        13         43744      high       5.69  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ASTEC/4538369
09:23      BLSE         56.0       73469      high       14.05 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
09:23      SYMPHONY     12.0       53478      high       16.69 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SYMPHONY/6192641
