Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      MAPMYINDIA   8.0        54982      high       12.38 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAPMYINDIA/1850113
09:16      UNIECOM      76.0       528130     high       10.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/UNIECOM/6351105
09:17      ENGINERSIN   45.0       2683368    high       17.77 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ENGINERSIN/1256193
09:17      FCL          400.0      240450     high       15.55 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FCL/1586689
09:17      RNBDENIMS    53         77145      high       18.42 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RNBDENIMS/194299137
09:17      BHARATSE     48.0       180431     low        24.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BHARATSE/7742465
09:19      BALUFORGE    18.0       172317     high       4.35  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BALUFORGE/6043393
09:19      RACLGEAR     6.0        31523      high       11.94 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RACLGEAR/6955777
09:21      TARIL        33.0       1011859    high       11.85 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TARIL/3884545
09:21      APEX         21.0       401728     high       1.85  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/APEX/5535489
09:26      KELLTONTEC   454.0      5035215    high       9.34  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KELLTONTEC/3438081
09:26      AEROFLEX     45.0       1190414    high       12.8  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AEROFLEX/4676609
09:27      AGIIL        38.0       104124     high       11.61 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:28      TATAINVEST   15.0       95596      high       16.89 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATAINVEST/414977
09:29      PRAJIND      29.0       747665     high       18.15 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRAJIND/692481
09:30      ROLEXRINGS   66         29551      high       15.39 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROLEXRINGS/1351425
09:30      JNKINDIA     38.0       62040      high       12.52 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/JNKINDIA/6046977
09:31      GODFRYPHLP   4          722132     high       11.36 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GODFRYPHLP/302337
09:32      COHANCE      29.0       1444503    high       12.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/COHANCE/4593921
09:33      SANDUMA      46         207220     high       16.12 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANDUMA/4699905
09:35      ABINFRA      476.0      58187      high       7.21  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ABINFRA/6917121
09:36      MAHABANK     147.0      6507294    high       18.42 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAHABANK/2912513
