Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-30 09:26:00  PDSL         122277     121942    UV        4474.0     yes      14.33 ---
2025-10-30 09:26:00  DRREDDY      1984350    1459243   UV        43480.0    yes      15.3  NA:PNQ
2025-10-30 09:26:00  VSTIND       1073738    217081    UV        23838.0    yes      11.2  NA:NE
2025-10-30 09:26:00  SAPPHIRE     651875     577814    UV        9063.0     yes      13.95 long:loss
2025-10-30 09:22:00  VAIBHAVGBL   1057200    369287    UV        34661.0    yes      12.16 long:profit
2025-10-30 09:26:00  UTKARSHBNK   1634167    1434809   UV        1349.0     yes      19.39 NA:NEM
2025-10-30 09:26:00  SANDUMA      313530     207220    UV        6445.0     yes      18.26 NA:PNQ
2025-10-30 09:27:00  ADANIGREEN   1742157    1527657   UV        118559.0   yes      9.11  NA:PNQ
2025-10-30 09:27:00  POLICYBZR    1799550    1091821   UV        235164.0   yes      5.54  long:loss(sad)
2025-10-30 09:27:00  ADANIPOWER   6240389    4874342   UV        21597.0    yes      19.45 NA:PNQ
2025-10-30 09:27:00  ASALCBR      49220      33621     UV        21031.0    yes      15.54 long:profit:MB
2025-10-30 09:28:00  BHAGERIA     63524      60321     UV        1709.0     yes      17.7  NA:NEM
2025-10-30 09:29:00  UBL          198990     194134    UV        11809.0    yes      22.0  NA:PNQ
2025-10-30 09:35:00  INDRAMEDCO   376383     231107    UV        21763.0    yes      18.94 long:profit
2025-10-30 09:39:00  PASUPTAC     257159     65299     UV        1003.0     yes      15.   NA:LV
2025-10-30 09:39:00  DBL          385593     356037    UV        15162.0    yes      13.71 long:loss
2025-10-30 09:40:00  BLS          1799716    1762530   UV        19390.0    yes      15.27 ----
2025-10-30 09:41:00  CHENNPETRO   1298375    1271429   UV        59042.0    yes      15.93 long:profit
2025-10-30 09:43:00  TARACHAND    224354     141354    UV        2155.0     yes      14.77 long:loss
2025-10-30 09:45:00  MRPL         3530633    3507707   UV        13980.0    yes      17.36 long:profit
2025-10-30 09:46:00  LT           1656347    1625095   UV        143190.0   yes      7.71  NA:PNQ
2025-10-30 09:49:00  BLSE         112202     73469     UV        2824.0     yes      12.54 long:loss
2025-10-30 09:51:00  GSLSU        341238     106554    UV        3607.0     yes      8.29  NA:NDH
2025-10-30 09:53:00  WIPL         63135      23374     UV        2052.0     yes      0.11  NA:CTUC
2025-10-30 09:54:00  REMSONSIND   279782     186492    UV        1765.0     yes      16.79 NA:NEM
2025-10-30 09:56:00  RATNAMANI    95630      21058     UV        226599.0   yes      19.69 NA:SS
2025-10-30 10:29:00  FISCHER      1131675    555545    UV        1730.0     yes      16.22 long:loss
2025-10-30 10:29:00  SAGILITY     201117449  34422171  UV        157159.0   yes      9.71  long:profit
2025-10-30 10:45:00  BHEL         31077034   6872759   UV        142751.0   yes      6.52  long:profit
2025-10-30 10:49:00  UNIPARTS     237069     116282    UV        2825.0     yes      13.28 long:profit
2025-10-30 10:53:00  PSPPROJECT   525726     259248    UV        9119.0     yes      14.66 NA:NDH
2025-10-30 11:35:00  GPPL         4396671    1460010   UV        11815.0    yes      16.61 long:loss
2025-10-30 11:39:00  DREDGECORP   403197     30442     UV        2469.0     yes      23.53 NA:PNQ
2025-10-30 11:58:00  IIFL         4018477    1338338   UV        16452.0    yes      5.24  NA:NDH
2025-10-30 11:59:00  JKTYRE       2467327    597055    UV        26524.0    yes      15.72 NA:SS
