Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      LIKHITHA     59.0       56219      high       11.48 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LIKHITHA/147969
09:16      GUJALKALI    15.0       69397      high       6.24  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GUJALKALI/324353
09:16      PCBL         38.0       824581     low        24.26 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PCBL/678145
09:16      RPSGVENT     13         49829      high       14.12 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPSGVENT/2078465
09:16      WEBELSOLAR   135.0      221476     high       10.61 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/WEBELSOLAR/3738113
09:16      SPARC        78.0       231286     low        24.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SPARC/3785729
09:16      ASTEC        16         43744      low        22.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ASTEC/4538369
09:19      NOCIL        63.0       313480     low        22.11 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NOCIL/625153
09:21      ANGELONE     40         965804     high       9.05  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ANGELONE/82945
09:21      CONFIPET     270.0      457415     high       12.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CONFIPET/2620929
09:21      BRIGADE      13.0       391315     high       9.11  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BRIGADE/3887105
09:22      GRAPHITE     15         666474     high       10.67 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GRAPHITE/151553
09:23      HILTON       500.0      55160      high       0.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HILTON/3744513
09:24      OFSS         1.0        178658     high       3.17  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/OFSS/2748929
09:25      HEG          17.0       1969049    high       6.51  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HEG/342017
09:27      HCC          714.0      3867847    low        22.02 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HCC/352001
09:27      ATGL         18.0       582982     high       18.32 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ATGL/1552897
