Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-28 09:17:00  HATSUN       184776     80475     UV        50425.0    yes      15.5  NA:NEM
2025-10-28 09:17:00  TMB          90940      67067     UV        11259.0    yes      17.54 long:profit
2025-10-28 09:18:00  HINDOILEXP   395368     378485    UV        5596.0     yes      26.29 NA:PNQ
2025-10-28 09:18:00  ARIHANTCAP   1382433    888901    UV        62556.0    yes      17.89 NA:PNQ
2025-10-28 09:18:00  BHARATWIRE   1402695    184079    UV        54011.0    yes      10.97 ---
2025-10-28 09:19:00  KALAMANDIR   4111116    1251885   UV        166691.0   yes      9.79  long:profit
2025-10-28 09:19:00  RMDRIP       43518      42901     UV        1595.0     yes      17.46 NA:LV
2025-10-28 09:19:00  ESSARSHPNG   418815     114708    UV        2235.0     yes      19.37 NA:PNQ 
2025-10-28 09:23:00  SANDUMA      215644     207220    UV        3062.0     yes      18.67 NA:NDH
2025-10-28 09:25:00  PRECWIRE     193518     149019    UV        5162.0     yes      16.53 long:profit
2025-10-28 09:26:00  SOUTHBANK    7243750    7088111   UV        10608.0    yes      17.22 long:profit
2025-10-28 09:26:00  GODAVARIB    83919      59277     UV        8386.0     yes      8.5   NA:LV
2025-10-28 09:29:00  APOLLOTYRE   979486     911205    UV        45982.0    yes      14.77 long:loss
2025-10-28 09:29:00  ISGEC        29254      28744     UV        1172.0     yes      18.88 NA:LV
2025-10-28 09:29:00  QUESS        523833     270423    UV        35167.0    yes      12.86 NA:NDH
2025-10-28 09:29:00  SURAJEST     344698     221300    UV        8111.0     yes      11.23 long:profit
2025-10-28 09:30:00  CENTRALBK    4665214    4661767   UV        20823.0    yes      17.98 NA:NEM
2025-10-28 09:32:00  SPARC        231426     231286    UV        4387.0     yes      14.57 long:profit
2025-10-28 09:32:00  SGFIN        74857      70033     UV        2637.0     yes      17.9  NA:NEM
2025-10-28 09:36:00  WELCORP      520638     490968    UV        68287.0    yes      15.99 long:loss
2025-10-28 09:36:00  DCBBANK      2057618    1414703   UV        19843.0    yes      17.39 NA:PNQ 
2025-10-28 09:37:00  ADANIPOWER   6766826    4874342   UV        22836.0    yes      20.07 NA:PNQ
2025-10-28 09:38:00  FCL          244097     240450    UV        3453.0     yes      19.41 NA:NDH
2025-10-28 09:38:00  RRKABEL      124308     114825    UV        15947.0    yes      18.34 long:profit
2025-10-28 09:39:00  TNPL         401140     327110    UV        3376.0     yes      12.98 long:loss
2025-10-28 09:50:00  HAPPYFORGE   27029      24418     UV        7553.0     yes      7.21  NA:LV
2025-10-28 09:51:00  WANBURY      126491     85966     UV        13859.0    yes      15.51 NA:LV
2025-10-28 09:54:00  MUTHOOTCAP   51390      31182     UV        1591.0     yes      13.44 NA:LV
2025-10-28 09:55:00  DEEPAKFERT   279400     276030    UV        44943.0    yes      14.55 long:loss
2025-10-28 09:55:00  BATAINDIA    514776     284452    UV        5842.0     yes      25.92 NA:PNQ
2025-10-28 09:55:00  BHAGERIA     277912     60321     UV        4574.0     yes      17.56 NA:PNQ
2025-10-28 09:57:00  LICI         961806     958189    UV        14053.0    yes      7.43  NA:NDH
2025-10-28 10:20:00  KIRLOSENG    967916     473282    UV        34381.0    yes      13.15 ---
2025-10-28 10:21:00  KHAICHEM     656136     309863    UV        16689.0    yes      11.88 long:loss
2025-10-28 10:24:00  SHAREINDIA   774346     356603    UV        6532.0     yes      7.75  NA:PNQ
2025-10-28 10:43:00  KERNEX       163620     64184     UV        1048.0     yes      9.1   NA:LV 
2025-10-28 10:55:00  SYRMA        3150897    1523123   UV        44631.0    yes      12.67 long:loss
2025-10-28 11:35:00  REMSONSIND   743113     186492    UV        2209.0     yes      16.52 long:profit
2025-10-28 11:46:00  CHENNPETRO   4019059    1271429   UV        23267.0    yes      13.41 long:loss(sad)
2025-10-28 11:56:00  IDBI         22468284   7460508   UV        19094.0    yes      15.79 long:profit
2025-10-28 12:57:00  TTKPRESTIG   801645     67222     UV        89663.0    yes      5.58  NA:NE
