Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-31 09:17:00  XCHANGING    220937     94995     UV        6304.0     yes      17.41 NA:PNQ
2025-10-31 09:18:00  ASALCBR      65739      33621     UV        11852.0    yes      21.83 long:profit
2025-10-31 09:18:00  TDPOWERSYS   1036464    873263    UV        166101.0   yes      8.97  long:loss
2025-10-31 09:19:00  UNITDSPR     1269095    1086716   UV        184213.0   yes      5.02  long:loss
2025-10-31 09:19:00  IIFL         1494095    1338338   UV        113856.0   yes      8.95  NA:PNQ
2025-10-31 09:20:00  GILLETTE     29938      26038     UV        36163.0    yes      13.43 NA:PNQ
2025-10-31 09:22:00  ADANIPOWER   5641415    4874342   UV        52882.0    yes      21.35 NA:PNQ
2025-10-31 09:22:00  ESSARSHPNG   345031     114708    UV        1192.0     yes      24.15 NA:PNQ
2025-10-31 09:24:00  WELCORP      684120     490968    UV        92068.0    yes      17.   NA:PNQ
2025-10-31 09:24:00  FIVESTAR     1060483    1026452   UV        54320.0    yes      21.57 NA:PNQ
2025-10-31 09:24:00  RAJRATAN     132761     98951     UV        8385.0     yes      15.43 long:profit
2025-10-31 09:25:00  MARINE       217187     204451    UV        8768.0     yes      6.26  NA:NE
2025-10-31 09:25:00  CHENNPETRO   1358737    1271429   UV        149018.0   yes      18.83 long:profit:MB
2025-10-31 09:25:00  AVTNPL       223341     216523    UV        2250.0     yes      10.87 long:profit
2025-10-31 09:26:00  MANAPPURAM   4253619    3883529   UV        38759.0    yes      11.51 NA:PNQ
2025-10-31 09:27:00  BHAGERIA     62093      60321     UV        1059.0     yes      18.18 NA:LV
2025-10-31 09:29:00  LODHA        1733090    1709899   UV        29231.0    yes      7.57  NA:NDH
2025-10-31 09:31:00  INDRAMEDCO   234048     231107    UV        6154.0     yes      18.72 NA:NEM
2025-10-31 09:32:00  TVSELECT     44734      39170     UV        2850.0     yes      16.71 long:loss
2025-10-31 09:33:00  MUFIN        455255     317794    UV        2968.0     yes      16.13 NA:NEM
2025-10-31 09:36:00  SUPRIYA      163000     152644    UV        13411.0    yes      16.67 long:profit
2025-10-31 09:38:00  V2RETAIL     88114      86322     UV        8044.0     yes      0.0   NA:CTUC
2025-10-31 09:39:00  NAVINFLUOR   978592     110167    UV        252073.0   yes      4.97  long:profit
2025-10-31 09:41:00  WAAREERTL    409710     406062    UV        49868.0    yes      16.43 long:loss
2025-10-31 09:43:00  IKS          529727     274413    UV        57424.0    yes      15.61 long:profit
2025-10-31 09:46:00  BHEL         7003455    6872759   UV        11045.0    yes      8.93  NA:NDH
2025-10-31 09:46:00  WHEELS       30078      28483     UV        1316.0     yes      16.32 NA:LV
2025-10-31 09:47:00  MRPL         3903749    3507707   UV        66380.0    yes      18.11 long:profit
2025-10-31 09:47:00  UNIONBANK    10847182   10075624  UV        30910.0    yes      5.98  ----
2025-10-31 09:49:00  GRAVITA      369544     289052    UV        29166.0    yes      18.4  long:profit
2025-10-31 09:51:00  IDBI         7564716    7460508   UV        11898.0    yes      16.14 long:loss
2025-10-31 09:51:00  ACLGATI      188727     143476    UV        1727.0     yes      17.1  NA:LV
2025-10-31 09:52:00  RADICO       332770     327085    UV        27167.0    yes      20.03 NA:NEM
2025-10-31 09:52:00  SAMMAANCAP   13097556   12967871  UV        58538.0    yes      6.47  long:loss
2025-10-31 09:53:00  ADANIGREEN   1528918    1527657   UV        37156.0    yes      8.95  NA:PNQ
2025-10-31 09:55:00  VAIBHAVGBL   496181     369287    UV        6014.0     yes      19.9  NA:PNQ
2025-10-31 09:57:00  PRECWIRE     162255     149019    UV        2950.0     yes      18.96 NA:PNQ
2025-10-31 09:57:00  UTKARSHBNK   1515910    1434809   UV        4264.0     yes      17.33 long:loss
2025-10-31 10:24:00  INTELLECT    936819     462947    UV        53070.0    yes      13.85 long:profit
2025-10-31 10:28:00  FCL          8964983    240450    UV        2173.0     yes      0.61  NA:CTUC
2025-10-31 10:28:00  IIFL         3613938    1338338   UV        2809.0     yes      8.69  NA:PNQ
2025-10-31 10:32:00  THOMASCOTT   59780      27056     UV        2139.0     yes      3.88  NA:LV
2025-10-31 10:53:00  LAMBODHARA   127014     43684     UV        1740.0     yes      12.21 NA:LV
2025-10-31 10:57:00  TEMBO        149863     60786     UV        3661.0     yes      8.92  NA:LV
2025-10-31 10:57:00  IDFCFIRSTB   33274574   16611472  UV        6242.0     yes      7.25  NA:NEM
2025-10-31 10:59:00  LANCORHOL    988111     223163    UV        1696.0     yes      2.95  NA:LV
2025-10-31 11:44:00  RPEL         137185     40408     UV        2545.0     yes      11.18 long:profit
2025-10-31 11:52:00  UCOBANK      19998996   6614104   UV        10716.0    yes      14.49 long:loss

did not run after 12 . No bloody interent !!!
