Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
09:28      RRKABEL      41528      40189.0    60108.0    15.3  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RRKABEL/4752897
09:29      TVSELECT     27845      19585.0    17488.0    15.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TVSELECT/2883841
09:30      THANGAMAYL   44093      20436.0    129069.0   6.73  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:32      THANGAMAYL   66164      20436.0    197824.0   4.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
09:40      DREDGECORP   37355      15221.0    34213.0    6.81  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
09:43      MUFIN        113873     111228.0   14085.0    16.0  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MUFIN/5064449
09:44      MUFIN        226706     158897.0   28350.0    14.74 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MUFIN/5064449
09:45      DREDGECORP   30693      15221.0    28350.0    5.91  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
09:46      DREDGECORP   37337      15221.0    34518.0    5.81  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
09:46      LGBBROSLTD   12484      12207.0    21435.0    12.87 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
09:57      SANGINITA    34130      32985.0    410.0      1.25  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANGINITA/2824193
10:12      DREDGECORP   20951      15221.0    19069.0    7.48  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:16      LGBBROSLTD   38268      13563.0    67214.0    10.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:22      DREDGECORP   11425      10655.0    10284.0    8.68  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:24      LGBBROSLTD   31169      13563.0    54892.0    10.04 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:25      LGBBROSLTD   40966      13563.0    72538.0    9.45  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:28      DREDGECORP   14789      13699.0    13366.0    8.24  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:55      BLSE         117393     36734.0    23448.0    20.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
11:12      BLSE         29399      29388.0    5904.0     19.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
11:28      THANGAMAYL   24566      20436.0    72816.0    5.4   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
11:38      LGBBROSLTD   23903      13563.0    42540.0    8.89  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
12:33      BLSE         66772      36734.0    13688.0    16.99 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
12:35      BLSE         68575      36734.0    14122.0    16.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
13:05      SIYSIL       48773      37364.0    40830.0    10.85 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SIYSIL/3608577
13:17      RBZJEWEL     51952      51602.0    8416.0     10.5  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RBZJEWEL/5343745
13:38      SIYSIL       38034      37364.0    31834.0    10.87 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SIYSIL/3608577
14:09      DCW          676195     606030.0   48057.0    6.06  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DCW/209153
14:11      ABINFRA      46412      29094.0    951.0      0.49  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ABINFRA/6917121
14:12      ABINFRA      47521      29094.0    977.0      0.19  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ABINFRA/6917121
