Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
09:17      INDIANHUME   41161      37987      2187.0     13.05 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INDIANHUME/391681  NA:NE
09:17      INTERARCH    31460      28159      14816.0    17.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INTERARCH/6376705  NA:PNQ
09:18      SCI          1848129    1621266    132875.0   14.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SCI/780289         long:loss 
09:19      INDIGOPNTS   61047      41848      9102.0     22.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INDIGOPNTS/524289  NA:PNQ
09:23      MAPMYINDIA   66804      54982      4350.0     27.57 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAPMYINDIA/1850113 NA:PNQ
09:23      SYRMA        1750163    1523123    223544.0   14.12 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SYRMA/2763009      long:loss
09:24      ROLEXRINGS   129365     29551      2543.0     21.3  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROLEXRINGS/1351425 NA:PNQ
09:25      FCL          556102     240450     1661.0     21.66 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/FCL/1586689        NA:PNQ
09:26      NRBBEARING   136233     134944     5311.0     13.78 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NRBBEARING/1933569 ----
09:29      GALLANTT     487395     468567     16955.0    18.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GALLANTT/3414273   NA:PNQ
09:31      AIAENG       56380      55101      9774.0     16.42 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AIAENG/3350017     long:loss
09:32      BLISSGVS     1201809    1145260    1632.0     18.76 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLISSGVS/4931841   NA:PNQ
09:34      HEG          2827994    1969049    86270.0    13.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HEG/342017         NA:PNQ
09:36      ELECTHERM    70499      31630      2214.0     30.64 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ELECTHERM/1144065  NA:PNQ
09:37      NATIONALUM   7435884    7394876    50820.0    8.16  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NATIONALUM/1629185 long:profit
09:37      DREDGECORP   33360      30442      3167.0     8.38  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377 NA:LV
09:38      KRSNAA       57582      57427      4565.0     17.8  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KRSNAA/1371905     NA:PNQ
09:39      SEAMECLTD    174178     64597      7366.0     8.08  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SEAMECLTD/669697   long:loss
09:39      CRAFTSMAN    53329      51528      35062.0    16.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CRAFTSMAN/730625   long:profit
09:41      RPEL         41555      40408      1579.0     20.94 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPEL/6332161       NA:LV
09:42      MTARTECH     249028     226400     31423.0    14.29 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MTARTECH/693505    long:loss
09:42      CCL          244354     240117     19199.0    20.73 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CCL/2931713        NA:PNQ
09:43      PRAJIND      830941     747665     237098.0   20.61 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PRAJIND/692481     NA:SS
09:47      GRAPHITE     673866     666474     15022.0    16.67 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GRAPHITE/151553    NA:PNQ
09:48      DATAPATTNS   287097     284369     59638.0    13.82 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DATAPATTNS/1883649 long:loss
09:49      TICL         174385     156728     1170.0     2.16  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TICL/4992257       NA:CTUC
09:49      TRITURBINE   1005147    791270     38151.0    14.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TRITURBINE/6549505 XXXXX
09:50      VOLTAMP      66548      65488      13526.0    17.76 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/VOLTAMP/3475713    XXXXX
09:56      SYNGENE      996697     992534     12720.0    6.43  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SYNGENE/2622209    XXXXX
09:57      SEQUENT      610885     602716     3388.0     17.97 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SEQUENT/3659777    XXXXX 
09:57      POLYMED      188140     183716     66989.0    11.46 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/POLYMED/6583809    XXXXX
