Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
10:08      ADANIPOWER   16114612   4874342    63842.0    19.9  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIPOWER/4451329     NA:NEM
10:26      NIRAJ        197726     28244      2244.0     7.64  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NIRAJ/65281            NA:LV 
10:30      TOLINS       771475     670325     2161.0     13.79 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TOLINS/6467073         long:loss
10:32      SJS          1426604    172442     15831.0    12.18 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SJS/1700609            NA:PNQ
10:33      IMFA         226145     120372     4917.0     14.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IMFA/4924161           long:loss
10:37      JKLAKSHMI    618270     157284     525167.0   19.87 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/JKLAKSHMI/3453697      NA:SS
10:41      HARDWYN      1093702    463638     3748.0     17.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HARDWYN/2294273        NA:LV
10:51      BANCOINDIA   1148005    989358     24648.0    10.44 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BANCOINDIA/3553281     long:profit
10:54      BLSE         723039     73469      15950.0    20.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897           NA:PNQ
10:55      INDOSTAR     270919     150492     2054.0     13.64 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INDOSTAR/790529        ---- 
11:21      SUZLON       120176708  63941907   212070.0   7.93  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609         long:loss
11:32      PSUBANK      114354     39565      83114.0    18.21 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/PSUBANK/3855617        NA:SS
11:47      SHAILY       272400     227534     30848.0    14.08 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SHAILY/2234113         long:profit   
12:21      SGMART       321716     166148     8129.0     14.13 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SGMART/194275585       NA:LV
12:46      SIYSIL       187810     74727      10415.0    16.28 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SIYSIL/3608577         long:profit
13:41      INDRAMEDCO   621153     231107     5959.0     19.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/INDRAMEDCO/1216257     long:profit 
13:51      ETHOSLTD     61701      45874      155621.0   19.32 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ETHOSLTD/2496001       NA:SS 
