Time       Symbol       Volume     VolCutoff  Turnover     %UC                              Link 
10:07      YESBANK      2623746    1449271.0  60845.0    8.93  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/YESBANK/3050241
10:08      YESBANK      3035731    1449271.0  70793.0    8.32  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/YESBANK/3050241
10:09      SUPRIYA      24184      -13333.0   19726.0    15.49 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
10:09      YESBANK      4768120    1449271.0  111765.0   7.76  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/YESBANK/3050241
10:11      SUPRIYA      26218      -13333.0   21533.0    14.7  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
10:12      SUPRIYA      38366      -13333.0   31612.0    14.33 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
10:12      DREDGECORP   20951      -391521.0  19069.0    7.48  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:13      CEATLTD      3590       -32407.0   14960.0    16.02 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CEATLTD/3905025
10:16      LGBBROSLTD   38268      -418573.0  67214.0    10.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:17      TATVA        39483      32251.0    60974.0    9.77  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATVA/1321473
10:20      SUPRIYA      13361      -13333.0   11044.0    13.97 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
10:22      BBOX         9448       -61993.0   5228.0     5.02  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BBOX/879361
10:22      DREDGECORP   11425      -391521.0  10284.0    8.68  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:24      SUPRIYA      18987      -13333.0   15781.0    13.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
10:24      LGBBROSLTD   31169      -418573.0  54892.0    10.04 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:25      LGBBROSLTD   40966      -418573.0  72538.0    9.45  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:28      DREDGECORP   14789      -391521.0  13366.0    8.24  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
10:33      SJS          19465      15273.0    34064.0    11.92 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SJS/1700609
10:34      SJS          27374      15273.0    47981.0    11.74 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SJS/1700609
10:34      THANGAMAYL   5840       -322406.0  17220.0    5.95  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
10:35      ECLERX       4373       4057.0     21157.0    17.4  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ECLERX/3885825
10:35      IMFA         6495       -69048.0   8268.0     14.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IMFA/4924161
10:36      IMFA         9858       -69048.0   12550.0    14.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IMFA/4924161
10:41      RPEL         6004       -325090.0  5470.0     15.41 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RPEL/6332161
10:43      LGBBROSLTD   5735       -418573.0  10146.0    9.54  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
10:51      IDEA         9707094    1934822.0  93673.0    8.7   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/IDEA/3677697
10:55      THANGAMAYL   4735       -322406.0  13891.0    6.5   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
10:55      BLSE         117393     -184858.0  23448.0    20.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
10:57      GSLSU        26055      -97649.0   3153.0     17.72 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GSLSU/3737345
11:01      BANDHANBNK   1043562    794033.0   162691.0   11.2  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BANDHANBNK/579329
11:05      DREDGECORP   3772       -391521.0  3414.0     8.07  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DREDGECORP/2885377
11:05      SUZLON       4963838    1402888.0  298972.0   8.19  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:07      MVGJL        5699       -31927.0   1168.0     12.86 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MVGJL/4867841
11:07      SCHNEIDER    2448       -80324.0   2178.0     6.67  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SCHNEIDER/7995905
11:08      MVGJL        14079      -31927.0   2902.0     12.26 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MVGJL/4867841
11:12      BLSE         29399      -184858.0  5904.0     19.43 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BLSE/5776897
11:14      SUZLON       1834549    1402888.0  110220.0   8.46  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:16      SUZLON       3242580    1402888.0  195657.0   7.99  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:17      SUZLON       8038306    1402888.0  487684.0   7.4   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:22      LGBBROSLTD   3553       -418573.0  6283.0     9.58  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
11:28      THANGAMAYL   24566      -322406.0  72816.0    5.4   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/THANGAMAYL/4638209
11:36      SUZLON       1666115    1402888.0  100767.0   7.74  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:38      ALKEM        4231       -5861.0    24138.0    8.52  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ALKEM/2995969
11:38      LGBBROSLTD   23903      -418573.0  42540.0    8.89  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LGBBROSLTD/4690177
11:39      SUZLON       1644884    1402888.0  99828.0    7.37  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:44      SUZLON       3114825    1402888.0  189350.0   7.19  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:46      SUZLON       3240881    1402888.0  197208.0   7.08  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
11:47      SUZLON       4941203    1402888.0  301908.0   6.64  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUZLON/3076609
