Time       Symbol       Quantity   VolCutoff  High/Low     %UC                              Link 
09:16      SBCL         15.0       119307     high       14.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SBCL/1191937
09:16      HSCL         18.0       996126     low        24.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HSCL/3669505
09:17      M&MFIN       30.0       2301682    high       8.51  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/M&MFIN/3400961
09:17      TARIL        29.0       1011859    high       16.25 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TARIL/3884545
09:17      ADANIPOWER   45.0       4874342    high       6.55  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ADANIPOWER/4451329
09:17      KRYSTAL      16.0       25960      high       17.14 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KRYSTAL/5932801
09:18      RAMRAT       24         54304      high       13.81 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RAMRAT/2684161
09:19      MAFANG       55.0       257991     high       0.0   https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/MAFANG/897793
09:20      TANLA        18.0       1038677    high       6.46  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TANLA/3577857
09:20      COHANCE      23.0       1444503    high       1.35  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/COHANCE/4593921
09:21      BEPL         103.0      309425     low        23.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BEPL/107265
09:21      GUJALKALI    12.0       69397      high       8.72  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/GUJALKALI/324353
09:21      HCC          500.0      3867847    high       18.41 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HCC/352001
09:21      STYRENIX     4          28292      high       15.36 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/STYRENIX/4865
09:21      CAMLINFINE   75.0       384966     high       16.48 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CAMLINFINE/1591297
09:21      LUXIND       5.0        25421      high       6.39  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LUXIND/2893057
09:22      ASAL         18.0       32384      high       7.31  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ASAL/2722305
09:22      RATNAVEER    64.0       341304     high       13.34 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/RATNAVEER/4716289
09:22      AGIIL        26         104124     high       15.53 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AGIIL/6257921
09:23      AZAD         4.0        189986     high       17.13 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/AZAD/5351681
09:24      ROLEXRINGS   64.0       29551      low        22.07 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROLEXRINGS/1351425
09:24      TTML         227.0      772913     low        21.51 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TTML/2292225
09:28      ROUTE        18.0       82516      high       11.94 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/ROUTE/32769
09:29      BBOX         17.0       124047     high       15.21 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/BBOX/879361
09:30      LLOYDSME     5.0        289585     high       17.33 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/LLOYDSME/4432129
09:30      TATSILV      434.0      6959738    high       17.65 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/TATSILV/5485569
09:30      SYMPHONY     11         53478      high       15.45 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SYMPHONY/6192641
09:31      CIEINDIA     20.0       134373     high       15.89 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/CIEINDIA/3823873
09:31      KMEW         5          84735      high       9.47  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/KMEW/6933505
09:32      SHYAMMETL    11.0       365533     high       11.06 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SHYAMMETL/1201409
09:34      SANDUMA      46.0       207220     high       16.96 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SANDUMA/4699905
09:35      SUNPHARMA    5.0        2444900    high       5.13  https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUNPHARMA/857857
09:35      DATAPATTNS   2.0        284369     high       18.47 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/DATAPATTNS/1883649
09:35      SUPRIYA      14.0       152644     high       11.51 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/SUPRIYA/1891841
09:36      NLCINDIA     31.0       1946336    high       15.29 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/NLCINDIA/2197761
09:36      HFCL         95.0       12489220   high       14.86 https://kite.zerodha.com/markets/ext/chart/web/tvc/NSE/HFCL/5619457
