instrument_token,tradingsymbol,avg_volume
2979841,BOHRAIND,53775
2981633,KOTARISUG,130747
2983425,LALPATHLAB,128656
2983681,JBMA,2343675
2986753,DWARKESH,541140
2989313,INDOCO,197169
2992385,SUPRAJIT,78201
2994945,PATELENG,2651738
2995969,ALKEM,157585
2996481,XCHANGING,94995
3001089,JSWSTEEL,1582418
3003137,CONSOFINVT,14704
3006209,JINDALPHOT,14503
3011329,JPPOWER,41481524
3015169,GOKEX,603322
3015425,ACEINTEG,18344
3016193,EVEREADY,466968
3017473,GOYALALUM,85211
3019265,SAKSOFT,434716
3019777,HPIL,37789
3020289,ALLDIGI,16024
3021825,SUKHJITS,12901
3023105,IIFL,1338338
3024129,SHOPERSTOP,45875
3025153,MANGALAM,33555
3026177,WELCORP,490968
3028225,SSWL,262015
3031041,NH,304098
3034113,SURYALAXMI,10436
3035137,SHAHALLOYS,72765
3036161,JKPAPER,993602
3037185,PRIMESECU,85326
3039233,GRANULES,1847708
3041281,JSWHL,1312
3042305,MANINDS,467342
3044353,VHL,691
3045121,DCXINDIA,1011529
3045377,GEOJITFSL,394942
3047681,GENUSPOWER,900678
3048705,SWELECTES,128558
3050241,YESBANK,77922306
3051265,MSPL,1381428
3054593,FUSION,358352
3055361,SPLIL,13646
3057409,MCLEODRUSS,1019118
3060737,MEDANTA,409248
3063297,BIKAJI,349596
3064577,GOLDIAM,896073
3065601,RML,15618
3067649,SASKEN,16453
3068673,ICIL,563193
3069953,SYNCOMF,733798
3071745,FCSSOFT,1949791
3072001,FAZE3Q,145701
3074305,IMPAL,2604
3075841,AEROENTER,184387
3076609,SUZLON,63941907
3077633,AURIONPRO,147175
3078145,ACI,248123
3078657,RENUKA,7758930
3080193,FIVESTAR,1026452
3080705,BASML,141859
3090433,SCPL,18330
3095553,KAYNES,570385
3097857,HDFCNIFIT,77668
3099649,HDFCPVTBAN,61916
3103745,DOLATALGO,250022
3111169,BBTCL,21502
3116289,HNDFDS,50862
3120129,INOXGREEN,727315
3128065,RUSTOMJEE,36309
3170305,ZIMLAB,143694
3197185,SWSOLAR,1848850
3197441,VINNY,506875
3208449,AAATECH,22876
3219969,FINIETF,298116
3226369,PRECAM,1893215
3247617,MBAPL,216362
3255297,TEAMLEASE,35436
3263745,DJML,14728
3279105,HYBRIDFIN,8594
3288833,KRISHANA,194394
3305729,SARVESHWAR,6432714
3322369,NPBET,877
3328257,DHARMAJ,35345
3336961,SAFARI,51428
3342593,UNIPARTS,116282
3346433,IIFLCAPS,457126
3348737,TRIVENI,394723
3350017,AIAENG,55101
3351297,EKC,1366127
3353857,VIMTALABS,4771494
3356417,ORIENTCER,79600
3357697,QUICKHEAL,295803
3358977,KERNEX,64184
3360257,REPRO,7045
3363585,EBBETF0433,3615
3364609,GSEC10IETF,1608
3365633,PVRINOX,439483
3369473,CELEBRITY,72471
3372801,NITINSPIN,74495
3374593,ROHLTD,536479
3377153,ENIL,38818
3378433,GSPL,685708
3378689,COMMOIETF,80595
3382017,JAGRAN,129481
3383809,SULA,1148835
3388417,SADBHAV,479635
3392257,SAKUMA,1149454
3394561,KEC,709335
3397121,JKCEMENT,112177
3398401,INDOTECH,21646
3398657,LANDMARK,89323
3400961,M&MFIN,2301682
3401729,AFSL,29403
3402241,BLKASHYAP,690215
3404801,NITCO,237420
3406081,CENTURYPLY,93315
3407361,KEI,244649
3412993,SOLARINDS,115953
3414273,GALLANTT,468567
3415553,VAKRANGEE,1975552
3418113,MALUPAPER,49662
3419905,KFINTECH,956329
3424257,UTTAMSUGAR,108150
3425537,KKCL,47765
3430401,BHAGERIA,60321
3431425,SUNTV,266915
3432705,GPIL,4312590
3433985,RSYSTEMS,754757
3435777,EMKAY,24546
3436289,ELIN,150247
3438081,KELLTONTEC,5035215
3439617,LOKESHMACH,62135
3440897,BALPHARMA,23355
3443457,RATNAMANI,21058
3444993,KAMDHENU,902970
3446529,PIONEEREMB,20296
3453697,JKLAKSHMI,157284
3454977,PFOCUS,2673454
3456257,ALLCARGO,2140297
3458561,AKASH,24187
3458817,MUNJALAU,417726
3460353,EMAMILTD,774239
3461633,NECCLTD,71863
3463169,GMRAIRPORT,12768978
3465217,VIDHIING,28433
3465729,TECHM,1539502
3470593,AVONMORE,484669
3471361,GRINDWELL,58314
3472641,RAMANEWS,65105
3475713,VOLTAMP,65488
3476481,RADIANTCMS,296302
3477761,ATLANTAA,276639
3478273,ACE,687511
3481089,SELAN,41715
3484417,IRCTC,683010
3486721,ANANTRAJ,2702027
3488001,BILVYAPAR,8490
3489537,SKYGOLD,1242468
3491073,JMFINANCIL,9802920
3492609,ELECON,442442
3492865,BANKETFADD,42088
3493889,TALBROAUTO,158044
3495937,ALICON,8438
3496449,GEECEE,4763
3499777,MADHUCON,32773
3500801,NRL,45542
3504129,ACLGATI,143476
3504385,AERONEU,13474
3507713,VISHWARAJ,287620
3509761,FIEMIND,130776
3512321,JHS,169598
3513601,DCBBANK,1414703
3516161,GLOBALVECT,20370
3517441,SHYAMTEL,2628
3518721,GTLINFRA,50692914
3520001,FLUOROCHEM,220733
3520257,NAUKRI,1624741
3520769,MANOMAY,5863
3521537,SHIVAMAUTO,155864
3522817,BBL,41829
3526657,GESHIP,258050
3529217,TORNTPOWER,521129
3531265,BAIDFIN,131806
3531777,MANALIPETC,676238
3533057,SUTLEJTEX,63634
3535361,GREENPANEL,947161
3536385,KAMOPAINTS,1923570
3536897,LTFOODS,674050
3538177,RUCHIRA,180928
3539457,SOBHA,162391
3542785,DONEAR,39365
3544065,MMFL,56560
3547905,VENUSREM,15289
3550209,AARTIPHARM,324453
3550721,KUANTUM,63825
3552001,JINDRILL,113338
3553281,BANCOINDIA,989358
3555841,HIRECT,192047
3558401,CREST,6290
3563521,PLASTIBLEN,13083
3564801,NFL,1837363
3571201,LIQUID1,397506
3571457,PARACABLES,967351
3575297,HBLENGINE,3520536
3577857,TANLA,1038677
3579393,JASH,145939
3580673,ABSLBANETF,247214
3584769,ZEEMEDIA,1930103
3586049,AVTNPL,216523
3587585,LUMAXTECH,186365
3588865,VEEDOL,33785
3595009,SARLAPOLY,125381
3598849,SANGHVIMOV,981223
3600129,WANBURY,85966
3601409,SAGCEM,343671
3606017,IGPL,29716
3608577,SIYSIL,74727
3609857,PTL,43871
3611137,AUTOIND,71173
3612417,NETWORK18,6426177
3613697,GANDHITUBE,46911
3618305,PITTIENG,76642
3619585,SBGLP,41019
3622401,BTML,388283
3623425,UNOMINDA,889666
3630081,NSLNISP,9661883
3633665,NINSYS,4933
3634689,TIMKEN,99969
3635969,HUBTOWN,1232170
3639809,CTE,9132
3641089,TIIL,15355
3642881,HDFCBSE500,25766
3643649,HDFCSML250,924740
3644417,HDFCMID150,260445
3646721,TVSSRICHAK,6584
3649281,REDINGTON,6066891
3650561,PGIL,123993
3655169,ORIENTBELL,8947
3659777,SEQUENT,602716
3660545,PFC,4669261
3661825,FSL,1085680
3663105,INDIANB,1382555
3665665,TFL,15973
3668225,SMSPHARMA,682048
3669505,HSCL,996126
3670785,GANESHHOU,61925
3672577,ORIENTALTL,310433
3676417,APOLLOPIPE,64020
3677697,IDEA,617517788
3682561,POCL,590153
3685889,AMDIND,48381
3687169,RAJTV,5971
3689729,PAGEIND,21557
3691009,ASTRAL,943647
3692289,LAOPALA,110183
3693569,GOLDBEES,16887903
3695361,JKTYRE,597055
3696641,NAHARSPING,29476
3697921,NAHARPOLY,12391
3699201,EMBDL,4231127
3701505,LEXUS,33122
3706625,DIVGIITTS,16424
3706881,GOKULAGRO,390854
3708161,THEMISMED,338604
3709441,NCLIND,94871
3712257,BALAMINES,43980
3714817,BANSWRAS,27195
3716609,ABSLLIQUID,2553
3717889,ICRA,4286
3721473,DISHTV,2668695
3725313,PHOENIXLTD,806189
3726593,AROGRANITE,39019
3727873,ZENITHSTL,71778
3729153,BFUTILITIE,161682
3732993,SRHHYPOLTD,15273
3733505,PSUBNKIETF,136507
3735553,FORTIS,1941682
3736833,ALPHAGEO,14982
3737345,GSLSU,106554
3738113,WEBELSOLAR,221476
3739393,TGBHOTELS,94132
3742209,CHEMBOND,16714
3744513,HILTON,55160
3752193,INSECTICID,80647
3754753,KMSUGAR,115739
3756033,NAVINFLUOR,110167
3759873,GOACARBON,19281
3763713,NAGREEKEXP,100755
3764993,TIMETECHNO,1137805
3766273,HGS,17978
3771393,DLF,2301295
3773953,AXSENSEX,1186
3774721,ADVANIHOTR,62079
3778817,NELCAST,658722
3780097,V2RETAIL,86322
3781377,TARMAT,25242
3785217,LOWVOL,4415
3785729,SPARC,231286
3787009,MEGASOFT,182956
3792129,ADSL,748997
3795969,WSI,114849
3798529,DECCANCE,88034
3799809,VIPCLOTHNG,198088
3801089,ALPA,16530
3802369,OMAXE,417809
3806977,USK,78069
3812865,CENTRALBK,4661767
3814401,SAHYADRI,6041
3816449,KDDL,18041
3817473,KPRMILL,410503
3818753,TAKE,67152
3820033,PURVA,298126
3820545,LAL,39126
3823873,CIEINDIA,134373
3824129,GSEC10YEAR,32232
3825153,NAGREEKCAP,8723
3826433,MOTILALOFS,974611
3827713,INDOWIND,165024
3828993,MAGNUM,166459
3831297,CSBBANK,562122
3832833,KSCL,135327
3834113,POWERGRID,10022062
3835393,CENTUM,38087
3837953,CCCL,2631790
3841793,MANGCHEFER,668461
3848193,PSUBNKBEES,1882845
3848705,BAJAJELEC,81211
3849985,CERA,14665
3851265,DELTACORP,4163210
3854849,AVALON,370788
3855617,PSUBANK,39565
3857153,BLAL,70890
3857409,RELIGARE,1784398
3861249,ADANIPORTS,1795538
3870465,EDELWEISS,8791205
3871745,KOLTEPATIL,170001
3873025,RGL,414133
3876097,COLPAL,700955
3877377,JYOTHYLAB,282171
3878657,MADHAV,35460
3879937,KALYANIFRG,1715
3880193,RHL,9060
3881217,HITECHCORP,18727
3884545,TARIL,1011859
3885825,ECLERX,164391
3886081,KIRLPNU,99909
3887105,BRIGADE,391315
3890945,MANAKSIA,119898
3892225,ARIES,272854
3894785,DVL,27452
3896065,PATINTLOG,138913
3898369,UJJIVANSFB,7779247
3898625,LICNFNHGP,1077
3899905,AMBIKCO,9684
3901185,BIRLAMONEY,140350
3905025,CEATLTD,140723
3906305,RPOWER,15282667
3908097,JKIL,147581
3909377,CORDSCABLE,27408
3911169,ONMOBILE,981710
3912449,KNRCON,2423291
3913729,HERCULES,17279
3915521,VIRINCHI,228024
3917569,BANG,13143
3918849,SEPC,7265976
3920129,IRB,9576824
3924993,NMDC,19194085
3926273,RAIN,2111840
3927553,SHALPAINTS,231167
3928833,GSS,199570
3930881,RECLTD,5545209
3932673,VGUARD,269246
3936513,PDMJEPAPER,258644
3937281,MANKIND,475286
3938305,DHANI,3886962
3940097,RACE,19209
3942145,EIHAHOTELS,82144
3943425,ATAM,26301
3944705,NESCO,155023
3945985,TITAGARH,1657653
3947265,DPSCLTD,124279
3982081,HCG,262383
3990785,AVG,21402
4055041,LATTEYS,73953
4066049,HINDWAREAP,261355
4107521,PRINCEPIPE,303342
4127489,BHARATWIRE,184079
4145153,PAVNAIND,253325
4159745,INFIBEAM,8126318
4160769,EBBETF0430,15357
4170753,PANACHE,16515
4197121,MMP,25811
4246785,VAISHALI,423151
4259585,KIRIINDUS,259710
4264193,ANIKINDS,24774
4264449,SIGMA,22533
4268801,BAJAJFINSV,1121546
4270593,PTCIL,17651
4274177,GHCLTEXTIL,96783
4276481,GOKUL,43698
4278529,UBL,194134
4280065,ALMONDZ,204625
4281601,RPGLIFE,16008
4296449,GVT&D,493562
4299521,ARCHIDPLY,37090
4305665,QNIFTY,431
4306177,VINYLINDIA,10618
4306433,IKIO,362028
4307713,KOKUYOCMLN,71417
4315905,SINDHUTRAD,4198825
4316929,LPDC,26809
4326401,DPWIRES,163154
4328449,TOUCHWOOD,24890
4329729,ARTEMISMED,132943
4330241,ZFCVINDIA,10313
4333313,JOCIL,6278
4334849,INDBANK,49369
4337409,ASHOKAMET,145827
4341505,ALKALI,17333
4348417,COUNCODOS,107223
4350977,TPHQ,1607684
4357633,MAWANASUG,53293
4359425,PATANJALI,1731856
4360193,THYROCARE,180014
4363265,SHARIABEES,10877
4365569,HMAAGRO,309807
4367873,PALREDTEC,6143
4370177,URAVIDEF,5319
4376065,CROMPTON,2020549
4378881,SUMICHEM,560546
4385281,PARAGMILK,1378324
4387841,IDEAFORGE,547599
4389121,AARTECH,45906
4390913,MIDCAPIETF,764476
4398337,NEXT50,15665
4399617,SHRIPISTON,74672
4399873,CYIENTDLM,177865
4402433,PAKKA,217758
4404993,ITETFADD,61025
4417537,ALBERTDAVD,4065
4419329,ARMANFIN,26521
4421121,ASPINWALL,4171
4421377,SENCO,796110
4423425,BLS,1762530
4427521,NAGAFERT,597568
4430593,AJMERA,119856
4432129,LLOYDSME,289585
4437249,MHRIL,122842
4441857,SALONA,1262
4443393,GKWLIMITED,2956
4443649,UTKARSHBNK,1434809
4445185,VINATIORGA,48519
4451329,ADANIPOWER,4874342
4453121,SETF10GILT,19183
4453633,PREMEXPLN,1068042
4454401,NHPC,10796990
4459265,BANKETF,3816
4460545,GLOBUSSPR,166964
4462849,NETWEB,2010892
4464129,OIL,1817949
4473601,NV20IETF,464757
4474113,CONTROLPR,36171
4476417,EXPLEOSOL,18161
4481793,INCREDIBLE,24624
4483585,SETCO,75428
4485121,RTNPOWER,33918509
4486913,MAHASTEEL,16567
4488705,MGL,399128
4490497,DAMODARIND,10284
4492033,AMRUTANJAN,23010
4498433,LIQUID,142486
4499457,PVTBANKADD,20659
4505089,ASALCBR,33621
4506369,MAHEPC,306991
4508929,SENSEXADD,5797
4509697,PSUBANKADD,196507
4512001,MOLDTECH,80898
4514561,ZYDUSWELL,584571
4516097,SUNTECK,408888
4518657,POKARNA,125982
4524801,ALOKINDS,8198976
4527361,GPTINFRA,303928
4531201,LTGILTBEES,4307369
4531713,MIDSELIETF,182526
4532225,QUESS,270423
4536833,DEN,466551
4538369,ASTEC,43744
4540929,YATHARTH,736391
4543233,NIITMTS,163087
4544513,SHILPAMED,60022
4546049,SARDAEN,2436438
4547585,REFEX,306395
4549121,GROBTEA,136
4551169,ATL,191485
4555265,SOMICONVEY,11729
4555521,TREL,132955
4557057,LLOYDSENGG,3559650
4558849,QUAL30IETF,225661
4561409,LTIM,228192
4565249,AHLUCONT,46852
4566785,GILLANDERS,55294
4569857,DLINKINDIA,99863
4571905,REDTAPE,815227
4574465,JSWENERGY,2726042
4576001,GODREJPROP,718898
4577537,DBCORP,89750
4579329,GATECH,14321606
4583169,ABBOTINDIA,8005
4588033,GEEKAYWIRE,88467
4589313,BAYERCROP,29732
4590849,BEARDSELL,73227
4592385,HINDCOPPER,5504832
4593921,COHANCE,1444503
4596993,MMTC,898992
4598529,NESTLEIND,1434288
4600577,SBICARD,957737
4604673,TRF,30968
4607745,UNITEDTEA,4398
4610817,WHIRLPOOL,172322
4611073,VLEGOV,253534
4614657,SBFC,1968642
4615425,MBLINFRA,195382
4617985,ADVENZYMES,896621
4623361,CONCORDBIO,116673
4630017,DBL,356037
4632577,JUBLFOOD,1370016
4634113,NIFTY1,157078
4636161,VASCONEQ,2690555
4638209,THANGAMAYL,40873
4638465,SRGHFL,5186
4639745,DBREALTY,846337
4641537,YASHO,13908
4643585,DOLPHIN,4611
4644353,EMMBI,20833
4644609,JIOFIN,12999155
4646657,TVSSCS,832762
4647425,HATHWAY,2445111
4661249,ORIENTLTD,14426
4662785,TEXMOPIPES,33208
4664321,KECL,121025
4665857,MANINFRA,509805
4672001,PYRAMID,37801
4672513,SPAL,51798
4676609,AEROFLEX,1190414
4679425,HDFCLIQUID,11522
4680705,HNGSNGBEES,289725
4690177,LGBBROSLTD,27126
4695297,VPRPL,1206246
4696833,NIFMID150,1306
4699905,SANDUMA,207220
4701441,PERSISTENT,529777
4702977,NDGL,213
4708097,RBLBANK,12075247
4716033,ASIANHOTNR,14433
4716289,RATNAVEER,341304
4718337,BIGBLOC,94505
4724993,POWERINDIA,159352
4730625,ISFT,19719
4737025,TVVISION,54917
4741121,CUPID,4993749
4747009,DIACABS,2563858
4749569,JLHL,37979
4751873,MITTAL,676572
4752385,LTTS,58983
4752897,RRKABEL,114825
4754177,GNA,51774
4756737,KIRLOSBROS,137367
4759809,EMSLIMITED,189812
4763649,ZAGGLE,743935
4765185,SAMHI,1226480
4772865,DIAMINESQ,5182
4774913,ICICIPRULI,888440
4776705,MARATHON,131803
4781825,HPL,279632
4792577,NUVAMA,134022
4794113,MASKINVEST,538
4798209,SIGNATURE,290236
4801281,KALAMANDIR,1251885
4802561,YATRA,5557194
4808449,IDFNIFTYET,2574
4818433,ENDURANCE,163694
4819713,TARAPUR,38481
4828929,VERTOZ,209500
4829697,MAZDA,59304
4834049,SJVN,5487625
4835585,KSL,47153
4840449,PNBHOUSING,3164133
4843777,VBL,6576238
4846337,SUNDARAM,448030
4854273,RAJRATAN,98951
4855553,KAPSTON,11567
4858113,UNIVASTU,49192
4867841,MVGJL,141011
4869121,JSWINFRA,1372138
4870401,KIRLOSIND,7916
4873217,PODDARMENT,5203
4879617,MANAPPURAM,3883529
4882689,AARVI,83072
4885505,ITBEES,8489741
4888833,SILLYMONKS,35239
4890625,ROLLT,218286
4892417,NBIFIN,518
4892929,UDS,256785
4896257,KIOCL,4076267
4900353,UMESLTD,28093
4911105,SFL,122729
4914177,TI,3683487
4916481,HEADSUP,49643
4918017,HMVL,46456
4919809,VALIANTLAB,78416
4921089,TCIEXP,20549
4921345,SENSEXETF,12141
4923649,AARTISURF,4159
4923905,LAURUSLABS,2182863
4924161,IMFA,120372
4924673,MONIFTY500,395784
4931841,BLISSGVS,1145260
4934913,EMAMIREAL,22750
4935425,THEJO,6252
4937985,MOM50,8782
4940545,ITDC,201415
4946433,HISARMETAL,13790
4959233,SPCENET,1123309
4966657,BOROLTD,83895
4968961,ROSSARI,58958
4976129,AHLEAST,8225
4978433,CAPTRUST,21613
4981249,PLAZACABLE,34315
4990977,SECMARK,2179
4992257,TICL,156728
4998401,IITL,7549
4999937,BAJAJCON,977975
5006337,BHANDARI,194733
5011969,UGARSUGAR,189539
5013761,BSE,4496153
5016833,IRMENERGY,556026
5017345,PRAKASHSTL,170030
5025537,PRICOLLTD,531824
5026049,ITETF,346668
5027841,ALPHAETF,484755
5029377,MAXESTATES,126658
5039617,BLUEJET,890647
5044481,LIQUIDSBI,8367
5051137,GPPL,1460010
5058817,ADFFOODS,124172
5064449,MUFIN,317794
5067521,CELLO,204971
5072129,HONASA,951341
5085953,AMNPLST,7067
5088257,LGHL,67051
5088513,RADIOCITY,93774
5088769,ESAFSFB,327742
5097729,DMART,593121
5102337,ORISSAMINE,13633
5103873,KILITCH,9775
5105409,DEEPAKNTR,186340
5136129,SASTASUNDR,44344
5138177,INTENTECH,87338
5138433,INFRABEES,9576
5142017,CPCAP,27723
5143553,TASTYBITE,3518
5148161,GREENPOWER,3455972
5154305,RAMKY,80940
5158913,ASKAUTOLTD,225441
5160705,ARIHANTSUP,27477
5160961,CANTABIL,121741
5165569,AKSHARCHEM,10977
5166593,ASHOKA,731259
5168129,WABAG,287539
5170177,BEDMUTHA,17774
5171969,URJA,1016471
5177345,JWL,2561544
5181953,OBEROIRLTY,578012
5186817,IREDA,5521516
5195009,TATATECH,780495
5197313,PRESTIGE,684948
5197569,GANDHAR,148507
5202177,SHANKARA,182135
5202433,FEDFINA,1288822
5202689,RESPONIND,68698
5204225,CGCL,3948868
5215233,FLAIR,198463
5215745,COALINDIA,5433040
5225729,IOLCP,5777949
5243137,WIPL,23374
5254913,PRUDMOULI,166466
5255937,BAJEL,270822
5256705,GRAVITA,289052
5261057,DOMS,241133
5262337,INDIASHLTR,241844
5263361,DOLLAR,94236
5275393,INOXINDIA,79335
5277697,SUPERHOUSE,25181
5278977,PENIND,1123502
5284353,JINDWORLD,3235890
5298689,SCHAND,44056
5314561,RPPINFRA,297016
5319169,JAMNAAUTO,4731124
5321729,MOTISONS,2204093
5330433,SURAJEST,221300
5331201,HUDCO,3059774
5332481,MOIL,697106
5332737,MUTHOOTMF,276785
5338113,ZEELEARN,513175
5338625,HAPPYFORGE,24418
5343745,RBZJEWEL,129006
5344513,PSPPROJECT,259248
5344769,MUFTI,321657
5351681,AZAD,189986
5359617,KIRLOSENG,473282
5363201,RKDL,39490
5364737,SUNCLAY,17428
5376257,PSB,1445866
5380353,FMNL,42929
5391873,INNOVACAP,41369
5395713,SURANASOL,180380
5399297,STARCEMENT,1118563
5400321,SHEKHAWATI,20643
5404929,BFINVEST,48491
5406465,KICL,1397
5409537,TEJASNET,978254
5415425,ERIS,127336
5420545,CDSL,2311474
5425921,GTPL,36909
5436929,AUBANK,2697036
5439233,DIGIDRIVE,100128
5440513,AXISNIFTY,13923
5441025,LOWVOLIETF,1509958
5446401,SUMMITSEC,18627
5456385,DYNPRO,49857
5461505,JYOTICNC,251895
5462785,STEELXIND,5022765
5468673,SALASAR,13524865
5474049,PALASHSECU,5127
5476353,MAGADSUGAR,16514
5478145,GANGESSECU,2882
5479937,AVADHSUGAR,35999
5484289,MOM100,346672
5485313,THEINVEST,30683
5485569,TATSILV,6959738
5496065,OPTIEMUS,271229
5498369,UTINEXT50,82998
5499905,STEL,14415
5504257,SIS,78364
5506049,COCHINSHIP,1163613
5517057,SMSLIFE,2550
5523969,COMSYN,317025
5533185,ABCAPITAL,5177742
5535489,APEX,401728
5550849,BRNL,230560
5552641,DIXON,274316
5556225,DCAL,158414
5556481,MEDIASSIST,287867
5561857,MATRIMONY,16378
5563649,RHFL,2292708
5565441,CHOLAHLDNG,217511
5567745,CAPACITE,378446
5568001,LIQUIDCASE,9109743
5573121,ICICIGI,482420
5579265,DAVANGERE,12880241
5582849,SBILIFE,841296
5587969,TEXRAIL,1461113
5591041,DIAMONDYD,101163
5619457,HFCL,12489220
5620993,INDTERRAIN,89797
5621505,NIFTYBETF,2749
5628417,BANKBETF,39904
5691649,DHUNINV,1260
5693185,EBBETF0431,12363
5697281,NDRAUTO,51563
5702913,WORTH,52114
5704193,TIRUPATIFL,175588
5720065,ALPL30IETF,811644
5720833,MACPOWER,8475
5724161,MCL,38313
5725441,ITIETF,1030324
5728513,MAXHEALTH,2226486
5738241,LOVABLE,17745
5740289,TOTAL,10251
5741569,MAXIND,96562
5742849,HDFCNIFBAN,104093
5744641,UTIBANKETF,231526
5750529,EPACK,1071141
5754113,NOVAAGRI,197513
5756929,NIFITETF,2105
5765377,NIF5GETF,4040
5766145,NIF10GETF,3752
5776897,BLSE,73469
5783553,HEALTHADD,1628
5784321,HDFCPSUBK,26839
5786113,PFS,516905
5798145,PARKHOTELS,763676
5799937,SIGNPOST,161947
5801729,JSFB,230455
5803521,RPTECH,218467
5804801,CAPITALSFB,64899
5815553,ENTERO,82885
5816833,LICNMID100,29149
5818881,VSTL,38541
5821185,MON100,718694
5842945,JUNIPER,104056
5844993,SMALLCAP,1648041
5848577,GPTHEALTH,325509
5870081,PLATIND,392196
5874433,EXICOM,413479
5882881,MUKKA,337941
5894913,LANCORHOL,223163
5899009,RKSWAMY,39545
5902337,JGCHEM,310762
5904897,GOPAL,181381
5920513,SCILAL,418511
5924353,PVSL,84141
5932801,KRYSTAL,25960
5934337,MOSMALL250,878911
5935105,MOREALTY,332373
5990913,SRM,251719
5992193,LIQUIDADD,590126
6010881,SINCLAIR,149625
6013185,BHARTIHEXA,205971
6019073,TARACHAND,141354
6029569,AIIL,309578
6039041,GLOSTERLTD,2700
6043393,BALUFORGE,172317
6046977,JNKINDIA,62040
6053633,FILATFASH,34933596
6054401,MUTHOOTFIN,652085
6065409,INDGN,526623
6074625,AADHARHFC,802324
6077441,TBOTEK,341760
6092545,GODIGIT,945549
6094337,ABSLPSE,178748
6106881,MIDSMALL,295221
6109185,AWFIS,376202
6122241,LIQUIDBETF,328675
6147585,BOROSCI,98323
6150401,KRONOX,85682
6161153,IXIGO,5045656
6163713,MID150CASE,1376609
6164737,TOP100CASE,687139
6173953,BBNPNBETF,1138
6181121,RETAIL,15306
6183425,DEEDEV,492404
6184705,AFIL,1181531
6191105,PIIND,190670
6192641,SYMPHONY,53478
6194177,VADILALIND,12506
6199553,IVZINNIFTY,41
6201601,RELAXO,314640
6201857,STANLEY,43497
6203137,OMINFRAL,153798
6211841,ESTER,159275
6218753,VSTTILLERS,36530
6222849,ABDL,494380
6226177,VRAJ,30072
6239745,LIQUIDSHRI,14325
6242817,BANSALWIRE,87479
6245889,EMCURE,129860
6247169,ASHIANA,40073
6247425,ABGSEC,4077
6248705,DHANUKA,83577
6257921,AGIIL,104124
6262017,EVINDIA,264225
6278145,SBINEQWETF,18264
6280193,FILATEX,1739376
6280449,OILIETF,2032340
6281729,MAITHANALL,35360
6292993,SANSTAR,554662
6296321,RUSHIL,2072801
6296577,RELTD,135700
6300161,AVANTEL,2440555
6327041,AKUMS,274077
6330881,RUBFILA,96910
6332161,RPEL,40408
6333953,CEIGALL,304618
6343937,BSLNIFTY,327572
6348289,GROWWEV,297229
6351105,UNIECOM,528130
6352385,FIRSTCRY,3002112
6354689,MANCREDIT,62253
6360833,GSEC10ABSL,466
6361857,SUYOG,30027
6363137,SSDL,37405
6364417,METALIETF,3033206
6366721,INVENTURE,1155561
6376705,INTERARCH,28159
6382593,GLOBALE,19353
6383873,MFML,31097
6385665,MODEFENCE,2161566
6386689,LTF,7243239
6390017,ORIENTTECH,231857
6391297,SURAJLTD,27218
6392065,WINDMACHIN,81083
6404353,BODALCHEM,319762
6412545,PREMIERENE,985256
6415361,ECOSMOBLTY,179701
6418689,RAYMONDLSL,243175
6420481,MULTICAP,265864
6420993,TREEHOUSE,51299
6422529,ASAHISONG,15058
6429185,STYLEBAAZA,423810
6434305,GALAPREC,22368
6434817,BROOKS,30841
6440193,RVTH,2038
6441473,EUREKAFORB,176887
6443777,TOP10ADD,300023
6445569,TDPOWERSYS,873263
6451969,BALAJEE,274666
6456833,SANOFICONR,9614
6460161,XTGLOBAL,164109
6464513,KROSS,3129054
6466049,EBANKNIFTY,984
6467073,TOLINS,670325
6469121,BAJAJHFL,4712602
6479873,PNGJL,268278
6483969,APLLTD,98197
6491649,PGEL,6144090
6500353,PANAMAPET,50434
6501889,ARKADE,968939
6503169,WCIL,691571
6509057,NORTHARC,1262858
6514433,GROWWLIQID,211389
6519809,PAISALO,15381257
6523393,TIJARIA,30876
6525953,ONELIFECAP,5842
6528769,INDOUS,44120
6531073,FLEXITUFF,26217
6546945,SHAKTIPUMP,615247
6549505,TRITURBINE,791270
6552833,MANBA,69780
6555137,MOMENTUM50,393856
6555649,INDOTHAI,349096
6560257,UYFINCORP,693437
6562305,ESSARSHPNG,114708
6564609,KRN,577478
6572033,DIFFNKG,385413
6575105,JISLDVREQS,66344
6576641,DSSL,22646
6583809,POLYMED,183716
6585345,RUPA,150581
6585601,BANKPSU,12610
6590465,METAL,1047927
6593537,VIKASECO,3212437
6594049,GROWWDEFNC,325550
6599681,APLAPOLLO,639499
6601217,KANANIIND,283712
6604801,GARUDA,3154972
6606593,LLOYDSENT,5055909
6613761,VINCOFE,2139658
6616065,HYUNDAI,791655
6618881,AFFORDABLE,85517
6628353,DBEIL,191518
6629633,MINDACORP,292079
6632193,WAAREEENER,3190171
6640897,GODAVARIB,59277
6650113,AFCONS,1150418
6651905,AVL,1081591
6654977,EMULTIMQ,79289
6914049,HEXATRADEX,5741
6917121,ABINFRA,58187
6921473,TBZ,414717
6924033,MASTERTR,998467
6925313,SAGILITY,34422171
6927617,ACMESOLAR,1916173
6928897,SWIGGY,17081928
6929153,VSSL,63597
6931201,LIQUIDPLUS,97992
6932225,KPEL,323221
6933505,KMEW,84735
6936321,SWANCORP,1901136
6936833,NIVABUPA,2964514
6939393,SPECIALITY,31428
