Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-09 09:18:00  EFCIL        274536     213839.0  50%       91517.0    yes      9.76 
2025-10-09 09:20:00  GRINFRA      12395      11780.0   50%       15975.0    yes      15.86
2025-10-09 09:21:00  GRINFRA      19764      11780.0   50%       25693.0    yes      14.86
2025-10-09 09:30:00  SANDUMA      76590      72527.0   35%       14453.0    yes      18.44
2025-10-09 09:31:00  SANDUMA      136261     103610.0  50%       26104.0    yes      16.67
2025-10-09 09:32:00  HEADSUP      72760      24822.0   50%       942.0      yes      8.57 
2025-10-09 09:53:00  TATSILV      3384864    3131882.0 45%       57170.0    yes      0.95 
2025-10-09 09:55:00  THEMISMED    225127     169302.0  50%       32294.0    yes      3.78 
2025-10-09 09:57:00  XELPMOC      14822      11971.0   50%       1703.0     yes      3.71 
2025-10-09 10:08:00  ESSARSHPNG   67906      57354.0   50%       2153.0     no       26.94
2025-10-09 10:14:00  THEMISMED    223263     169302.0  50%       32422.0    yes      2.51 
2025-10-09 10:14:00  SANDUMA      93910      93249.0   45%       18369.0    yes      14.26
2025-10-09 10:31:00  SANDUMA      159502     103610.0  50%       31443.0    yes      13.38
2025-10-09 10:32:00  SANDUMA      175921     103610.0  50%       34766.0    yes      13.1 
2025-10-09 10:40:00  GOLD360      88208      28770.0   50%       11092.0    no       11.89
2025-10-09 11:29:00  THEMISMED    136480     135442.0  40%       19166.0    no       6.01 
2025-10-09 11:42:00  THEMISMED    129840     118511.0  35%       18463.0    no       4.69 
2025-10-09 12:41:00  SANDUMA      98144      93249.0   45%       19615.0    no       11.83
2025-10-09 12:56:00  SANDUMA      113746     103610.0  50%       22699.0    no       12.0 
2025-10-09 13:10:00  SANDUMA      128947     103610.0  50%       26038.0    yes      10.68
2025-10-09 13:19:00  SANDUMA      237235     103610.0  50%       48752.0    yes      8.76 
2025-10-09 13:46:00  MWL          19200      17364.0   50%       4627.0     yes      20.8 
2025-10-09 14:20:00  THEMISMED    137626     135442.0  40%       19350.0    no       5.88 
2025-10-09 14:35:00  SHANKARA     92506      91068.0   50%       13691.0    no       13.51
2025-10-09 14:37:00  SHANKARA     132870     91068.0   50%       20195.0    no       10.53
2025-10-09 14:45:00  THEMISMED    177263     169302.0  50%       25281.0    no       4.38 
2025-10-09 14:55:00  SANDUMA      110093     103610.0  50%       22250.0    no       10.59
2025-10-09 15:00:00  SHANKARA     78309      72854.0   40%       11370.0    no       15.7 

