Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-13 09:21:00  SANDUMA      157453     103610.0  50%       32813.0    yes      18.31
2025-10-13 09:33:00  RPOWER       1960806    1000000   UHV       89374.0    yes      27.89
2025-10-13 09:33:00  RPOWER       1960806    1000000   UHV       89374.0    yes      27.89
2025-10-13 09:37:00  DANGEE       107562     30576.0   50%       546.0      yes      0.0  
2025-10-13 09:38:00  YESBANK      1777372    1000000   UHV       42550.0    no       10.28
2025-10-13 09:38:00  YESBANK      1777372    1000000   UHV       42550.0    no       10.28
2025-10-13 09:39:00  WAAREERTL    304819     203031.0  50%       383615.0   yes      8.05 
2025-10-13 09:44:00  KECL         89380      60512.0   50%       11442.0    yes      8.84 
2025-10-13 09:46:00  TATSILV      1364719    1000000   UHV       23187.0    yes      1.41 
2025-10-13 09:46:00  TATSILV      1364719    1000000   UHV       23187.0    yes      1.41 
2025-10-13 09:47:00  IDEA         3134582    1000000   UHV       27992.0    no       11.31
2025-10-13 09:47:00  IDEA         3134582    1000000   UHV       27992.0    no       11.31
2025-10-13 10:14:00  MAPMYINDIA   27357      24742.0   45%       50118.0    no       11.62
2025-10-13 10:15:00  MAPMYINDIA   51457      27491.0   50%       94784.0    no       11.01
2025-10-13 10:23:00  UJJIVANSFB   3110358    2722736.0 35%       151754.0   yes      19.96
2025-10-13 10:23:00  UJJIVANSFB   3110358    1000000   UHV       151754.0   yes      19.96
2025-10-13 10:25:00  YESBANK      1430256    1000000   UHV       34469.0    yes      9.54 
2025-10-13 10:26:00  YESBANK      1930071    1000000   UHV       46573.0    yes      9.41 
2025-10-13 10:26:00  YESBANK      1930071    1000000   UHV       46573.0    yes      9.41 
2025-10-13 10:27:00  YESBANK      2193587    1000000   UHV       53063.0    yes      9.14 
2025-10-13 10:27:00  YESBANK      2193587    1000000   UHV       53063.0    yes      9.14 
2025-10-13 10:28:00  YESBANK      5077264    1000000   UHV       123073.0   yes      8.91 
2025-10-13 10:28:00  YESBANK      5077264    1000000   UHV       123073.0   yes      8.91 
2025-10-13 10:31:00  IDEA         8018899    1000000   UHV       72651.0    yes      9.71 
2025-10-13 10:31:00  IDEA         8018899    1000000   UHV       72651.0    yes      9.71 
2025-10-13 10:45:00  LATTEYS      26018      25884.0   35%       632.0      yes      12.67
2025-10-13 10:48:00  YESBANK      1900845    1000000   UHV       46172.0    yes      8.69 
2025-10-13 10:48:00  YESBANK      1900845    1000000   UHV       46172.0    yes      8.69 
2025-10-13 10:58:00  LATTEYS      27213      25884.0   35%       680.0      yes      9.56 
2025-10-13 11:07:00  MAPMYINDIA   19638      19244.0   35%       35525.0    no       13.03
2025-10-13 11:17:00  KECL         87380      60512.0   50%       11228.0    yes      8.44 
2025-10-13 11:19:00  KECL         117778     60512.0   50%       15297.0    yes      7.28 
2025-10-13 11:40:00  MANAKCOAT    246396     140885.0  50%       40823.0    yes      5.44 
2025-10-13 11:42:00  UNIVASTU     42819      24596.0   50%       4434.0     yes      1.28 
2025-10-13 11:46:00  KECL         79673      60512.0   50%       10278.0    no       8.02 
2025-10-13 11:50:00  IDEA         6312779    1000000   UHV       56499.0    no       11.06
2025-10-13 11:50:00  IDEA         6312779    1000000   UHV       56499.0    no       11.06
2025-10-13 11:59:00  SANDUMA      79460      72527.0   35%       16559.0    yes      18.31
2025-10-13 12:06:00  MUTHOOTMF    97564      96875.0   35%       17532.0    no       12.23
2025-10-13 12:08:00  MANAKCOAT    220515     140885.0  50%       36376.0    yes      5.9  
2025-10-13 12:09:00  JUBLINGREA   107620     100203.0  40%       75764.0    yes      10.99
2025-10-13 12:33:00  KECL         43307      42359.0   35%       5620.0     yes      7.38 
2025-10-13 12:49:00  SANDUMA      91584      82888.0   40%       19228.0    yes      17.43
2025-10-13 12:50:00  SANDUMA      145671     103610.0  50%       30610.0    yes      17.33
2025-10-13 13:09:00  JUSTDIAL     37083      32956.0   35%       32483.0    yes      14.04
2025-10-13 13:32:00  MUNJALSHOW   19559      19326.0   35%       2404.0     no       35.29
2025-10-13 13:40:00  IDEA         1377354    1000000   UHV       12052.0    no       13.6 
2025-10-13 13:47:00  STALLION     1163484    1111107.0 45%       392734.0   yes      0.0  
2025-10-13 13:47:00  STALLION     1163484    1000000   UHV       392734.0   yes      0.0  
2025-10-13 13:55:00  RPOWER       1770983    1000000   UHV       83608.0    yes      23.47
2025-10-13 13:55:00  RPOWER       1770983    1000000   UHV       83608.0    yes      23.47
2025-10-13 14:10:00  ORIENTTECH   106240     104336.0  45%       49492.0    yes      6.51 
2025-10-13 14:15:00  MANAKCOAT    146656     140885.0  50%       23901.0    no       7.19 
2025-10-13 14:33:00  SILVER       377356     350746.0  40%       63845.0    yes      11.96
2025-10-13 14:39:00  ORIENTTECH   131506     115928.0  50%       63590.0    yes      2.62 
2025-10-13 14:42:00  RPOWER       1489861    1000000   UHV       70098.0    yes      23.89
2025-10-13 14:42:00  RPOWER       1489861    1000000   UHV       70098.0    yes      23.89
2025-10-13 14:54:00  ADANIPOWER   1163250    1000000   UHV       180257.0   yes      15.93
2025-10-13 14:54:00  ADANIPOWER   1163250    1000000   UHV       180257.0   yes      15.93
2025-10-13 14:55:00  TATAINVEST   35946      33459.0   35%       358382.0   yes      11.88
2025-10-13 14:55:00  ADANIPOWER   2143255    1949737.0 40%       332976.0   yes      15.63
2025-10-13 14:55:00  ADANIPOWER   2143255    1000000   UHV       332976.0   yes      15.63
2025-10-13 15:06:00  MANAKCOAT    411038     140885.0  50%       67086.0    no       7.03 
2025-10-13 15:16:00  JUBLINGREA   120446     112728.0  45%       85125.0    no       10.56
2025-10-13 15:23:00  TATSILV      1165614    1000000   UHV       19955.0    yes      0.64 
2025-10-13 15:23:00  TATSILV      1165614    1000000   UHV       19955.0    yes      0.64 
2025-10-13 15:24:00  SANDUMA      96456      93249.0   45%       19859.0    no       19.75
