Time                 Symbol       Volume     VolCutoff Criteria   turnover   Days High %UC   
2025-10-17 09:17:00  BBTC         6718       -259219.0 Dynamic   12999.0    yes      17.06
2025-10-17 09:17:00  CIEINDIA     25064      -43238.0  Dynamic   11002.0    yes      16.48
2025-10-17 09:17:00  WHIRLPOOL    20938      15110.0   Dynamic   26968.0    yes      15.32
2025-10-17 09:18:00  GENESYS      29199      -21930.0  Dynamic   17410.0    yes      16.33
2025-10-17 09:18:00  TARAPUR      20536      -336552.0 Dynamic   788.0      yes      0.0  
2025-10-17 09:19:00  SHAREINDIA   666899     185700.0  Dynamic   130712.0   yes      9.37 
2025-10-17 09:19:00  ASTEC        6663       -306483.0 Dynamic   5180.0     yes      12.35
2025-10-17 09:19:00  GROWWSLVR    34110      13184.0   Dynamic   5764.0     yes      22.1 
2025-10-17 09:19:00  PVSL         5213       -153044.0 Dynamic   811.0      yes      18.72
2025-10-17 09:20:00  PANAMAPET    2463       -273102.0 Dynamic   678.0      yes      19.2 
2025-10-17 09:21:00  TALBROAUTO   8180       -5178.0   Dynamic   2432.0     yes      18.9 
2025-10-17 09:21:00  ASTEC        10869      -306483.0 Dynamic   8717.0     no       8.91 
2025-10-17 09:21:00  SILVER360    4930       -236126.0 Dynamic   807.0      yes      26.14
2025-10-17 09:21:00  GROWWGOLD    43015      37092.0   Dynamic   5500.0     yes      16.35
2025-10-17 09:21:00  GODAVARIB    15576      -235206.0 Dynamic   4346.0     no       3.67 
2025-10-17 09:22:00  TALBROAUTO   22294      -5178.0   Dynamic   6767.0     yes      16.46
2025-10-17 09:22:00  CIEINDIA     65553      -43238.0  Dynamic   29217.0    yes      14.72
2025-10-17 09:22:00  ASTEC        12533      -306483.0 Dynamic   10192.0    no       7.41 
2025-10-17 09:23:00  TALBROAUTO   27261      -5178.0   Dynamic   8312.0     yes      15.94
2025-10-17 09:24:00  RUSTOMJEE    21547      -350180.0 Dynamic   12390.0    yes      9.79 
2025-10-17 09:24:00  IMFA         5951       -69048.0  Dynamic   6955.0     yes      18.44
2025-10-17 09:26:00  AGIIL        5663       -103061.0 Dynamic   1500.0     no       20.81
2025-10-17 09:28:00  KALPATARU    16130      5636.0    Dynamic   6381.0     no       2.54 
2025-10-17 09:30:00  KALPATARU    68682      5636.0    Dynamic   27775.0    yes      0.31 
2025-10-17 09:31:00  SHAREINDIA   209244     185700.0  Dynamic   40572.0    no       10.55
2025-10-17 09:33:00  SHAREINDIA   275745     185700.0  Dynamic   53944.0    no       9.57 
2025-10-17 09:34:00  SHAREINDIA   381268     185700.0  Dynamic   74603.0    no       9.55 
2025-10-17 09:34:00  ASTEC        18737      -306483.0 Dynamic   15251.0    no       7.31 
2025-10-17 09:35:00  WHIRLPOOL    22057      15110.0   Dynamic   28116.0    no       16.52
2025-10-17 09:35:00  RACLGEAR     3611       -383336.0 Dynamic   4132.0     no       12.91
2025-10-17 09:37:00  NDTV         26874      -169726.0 Dynamic   2643.0     yes      5.87 
2025-10-17 09:37:00  CIEINDIA     99936      -43238.0  Dynamic   45586.0    yes      12.09
2025-10-17 09:37:00  BLSE         2752       -184858.0 Dynamic   488.0      yes      20.8 
2025-10-17 09:41:00  TATAINVEST   68142      -123105.0 Dynamic   62895.0    yes      17.77
2025-10-17 09:41:00  SAMPANN      5070       -85965.0  Dynamic   192.0      yes      14.5 
2025-10-17 09:43:00  GENESYS      39191      -21930.0  Dynamic   23513.0    yes      15.61
2025-10-17 09:47:00  SPECIALITY   3399       -384044.0 Dynamic   493.0      yes      16.84
2025-10-17 09:51:00  SHAREINDIA   230919     185700.0  Dynamic   45105.0    no       9.74 
2025-10-17 09:57:00  WHIRLPOOL    56110      15110.0   Dynamic   73386.0    yes      13.56
2025-10-17 09:59:00  WHIRLPOOL    57427      15110.0   Dynamic   75488.0    yes      12.99
2025-10-17 10:06:00  GENESYS      8800       -21930.0  Dynamic   5331.0     no       14.48
2025-10-17 10:07:00  RAMCOSYS     5204       -305739.0 Dynamic   3138.0     yes      6.32 
2025-10-17 10:13:00  WHIRLPOOL    33373      15110.0   Dynamic   43852.0    yes      13.04
2025-10-17 10:14:00  ASTEC        7044       -306483.0 Dynamic   5835.0     yes      5.44 
2025-10-17 10:14:00  WHIRLPOOL    38093      15110.0   Dynamic   50321.0    yes      12.44
2025-10-17 10:15:00  ASTEC        33468      -306483.0 Dynamic   27929.0    yes      4.67 
2025-10-17 10:15:00  WHIRLPOOL    48377      15110.0   Dynamic   63945.0    yes      12.37
2025-10-17 10:16:00  ASTEC        34452      -306483.0 Dynamic   28850.0    yes      4.3  
2025-10-17 10:16:00  WHIRLPOOL    76238      15110.0   Dynamic   101267.0   yes      11.82
2025-10-17 10:17:00  GSLSU        10692      -97649.0  Dynamic   1044.0     no       5.96 
2025-10-17 10:17:00  ASTEC        35822      -306483.0 Dynamic   30125.0    yes      3.86 
2025-10-17 10:18:00  CIEINDIA     9070       -43238.0  Dynamic   4070.0     no       13.94
2025-10-17 10:19:00  MARINE       85898      55212.0   Dynamic   20185.0    yes      1.53 
2025-10-17 10:24:00  SANDHAR      8146       -123326.0 Dynamic   4394.0     yes      17.32
2025-10-17 10:27:00  BLSE         5748       -184858.0 Dynamic   1015.0     no       21.47
2025-10-17 10:28:00  BLS          573121     560509.0  Dynamic   191107.0   yes      16.78
2025-10-17 10:28:00  BLSE         7478       -184858.0 Dynamic   1329.0     yes      20.65
2025-10-17 10:29:00  BLSE         16844      -184858.0 Dynamic   3032.0     yes      19.12
2025-10-17 10:30:00  BLS          718234     560509.0  Dynamic   242979.0   yes      15.1 
2025-10-17 10:31:00  SANDHAR      32539      -123326.0 Dynamic   17799.0    yes      15.69
