avg_volume,current_volume,label
41481524,2042704,1
95506,41678,1
149019,84328,0
77922306,4215825,1
1445866,242438,1
28744,21866,0
6507294,877156,0
7088111,901365,1
6614104,839039,0
104124,54217,1
251895,90855,1
1206246,300342,0
451485,147798,1
9329429,1589792,0
6066891,576667,1
1434809,312692,0
